trading_date,period,ic,rank_ic,sample_size
2025-07-14,1,0.13433232591295202,0.060703842196288695,31
2025-07-14,5,-0.014150798992610352,0.051623312201051104,31
2025-07-15,1,0.005770276419885265,0.022228999233052837,31
2025-07-15,5,-0.36049826279771024,-0.29401089527004887,31
2025-07-16,1,-0.2580088123468666,-0.21677272035444822,31
2025-07-16,5,-0.018385469816897485,0.011493094120309246,31
2025-07-17,1,-0.11845504347882314,0.25330518067489066,31
2025-07-17,5,-0.2545029334143628,-0.24619417405083494,31
2025-07-18,1,-0.18685619958187752,-0.3936277555330146,31
2025-07-21,1,-0.48372130404461877,-0.34620425622054346,31
2025-07-22,1,0.27517347911744033,0.2614220997124014,31
2025-07-23,1,-0.17729883265435642,-0.27727364387981446,31
