buy_delay_days,extend_holding_days,trade_count,win_rate,avg_profit,profit_loss_ratio,avg_holding_days,stop_loss_ratio
0,0,1161,0.4737295434969854,1.0016903794489007,1.4674754491763315,1.661068044788975,0.024117140396210164
0,1,1161,0.4728682170542636,0.9790088165713626,1.461425804564918,1.6683893195521102,0.03789836347975883
0,2,1161,0.45478036175710596,0.8264900505718924,1.4868015387637048,2.127045650301464,0.05254091300602928
1,0,1158,0.4075993091537133,0.07717805070093776,1.5079886844796837,1.6627806563039724,0.0025906735751295338
1,1,1158,0.42055267702936094,0.05492004453115587,1.4135597993460738,1.6813471502590673,0.0025906735751295338
1,2,1158,0.40328151986183075,-0.09520298706303326,1.425090119998174,2.161917098445596,0.009499136442141624
2,0,1153,0.5229835212489159,0.38000565144321347,1.173499434379413,1.6630529054640069,0.0017346053772766695
2,1,1153,0.5073720728534259,-0.10508263306134057,0.9109991124854404,1.621422376409367,0.03469210754553339
2,2,1153,0.47007805724197743,-0.41549444323481755,0.8265980756669834,2.0945359930615783,0.03642671292281006
3,0,1149,0.5883376849434291,0.9866622079307088,1.0281841799519686,1.6314186248912097,0.047867711053089644
3,1,1149,0.5796344647519582,0.387274706289213,0.832650620942918,1.5709312445604873,0.08703220191470844
3,2,1149,0.5526544821583986,-0.046198186722191795,0.7951378253602501,2.012184508268059,0.09312445604873804
4,0,1147,0.5867480383609416,1.3430222613585348,1.0627931341025028,1.6312118570183087,0.06190061028770706
4,1,1147,0.5771578029642546,0.7997766728557283,0.9194579792538062,1.570619006102877,0.1020052310374891
4,2,1147,0.5605928509154315,0.3428305049956325,0.867872255031656,1.998256320836966,0.10810810810810811
5,0,1136,0.5994718309859155,1.7275671156344723,1.0518466070501578,1.6329225352112675,0.07306338028169014
5,1,1136,0.596830985915493,1.268586260459941,0.9263154946400293,1.5779049295774648,0.11091549295774648
5,2,1144,0.5804195804195804,0.7949261609279039,0.8889758945801228,1.9978146853146854,0.11713286713286714
