factor,mean,std,min,q25,q50,q75,max,count
trend_slope,0.004726001858138759,0.18062816337831908,-6.49645258583495,-0.020309810459833114,-0.001141800200464832,0.016232058889402892,17.578108095229464,4377100
trend_rsq,0.36913049666284825,0.19570914018379335,0.0,0.22201799630312058,0.3614323708185718,0.5109203904840925,0.9663649118215256,4377100
trend_slope_20,0.005810105353554015,0.4147807783978177,-37.91007518796586,-0.04807518796995624,-0.0018120300751892282,0.04069172932331475,57.86807518796981,4273914
trend_rsq_20,0.43000949251169285,0.29021453919927076,0.0,0.1526552240119547,0.4398521779991476,0.6864034690119314,0.9965871493477667,4273914
trend_slope_60,0.005158482182175348,0.21569101660676263,-7.918811058627835,-0.026598499583217472,-0.0017563212003326063,0.022650388996943056,19.32110447346463,4057234
trend_rsq_60,0.40329061103401387,0.28567316323259817,0.0,0.12757320977899095,0.39751678597614426,0.6570109226683403,0.988956194550486,4057234
trend_slope_120,0.00469084305595524,0.14338734547974918,-5.216871275783049,-0.01658996284464165,-0.0005945725397598403,0.01678476803944715,9.563711091047951,3734382
trend_rsq_120,0.3838512766175146,0.27547520706938056,1.7864503634608104e-12,0.1207184912278911,0.372103997669415,0.6220957526970017,0.9832761002005667,3734382
stability_ewmvol_60,0.42848729281091447,0.2031972333668841,0.004034467135776106,0.2852191002826534,0.3819411505307114,0.5200499158023044,3.4562606860098812,4057234
stability_maxdd_60,4.132944585580828,1.9732272199293885,1.0075405930968793,2.755319073018337,3.6660154906032996,4.999999750000014,34.33332154555961,4057234
stability_up_ratio_60,0.4761210634305704,0.06451398810572131,0.11666666666666667,0.43333333333333335,0.48333333333333334,0.5166666666666667,0.7833333333333333,4057234
trend_strength,0.48810712179086174,0.2938543575333057,0.0,0.23311396313573637,0.48813624186758514,0.7424154865898476,1.0,4377100
trend_stability,0.14817636329808367,0.2570077338582409,0.0,0.0,0.0,0.35154637584079507,0.8933486868668725,4377100
trend_composite,0.3181417425444729,0.1904693713569172,0.0,0.17195051227527547,0.31142463751400423,0.4369317082607855,0.9357639694360327,4377100
