code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_7,ema_7,ewma_volatility_8,open_pct,lowest_30,close_sma7_pct,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_ema_7,pre_volume_ratio_5,pre_pct,pre_vwap,pre_ewma_volatility_8,pre_close_sma7_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,trading_date_right
SHSE.603110,stock,2021/1/20,2021-01-20T16:00:00.000+0800,43.9,42,48.28,41.95,48.03,48.29,39.51,8124332,374857120,9.41,1.483870268,46.14,3159911519,1,FALSE,TRUE,FALSE,,炸板,8天3板,5天3板,42.486,40.97428571,41.45163798,9.227135828,-4.328018223,19.25,17.21985915,1.252668712,0.952606635,0.039494471,0.007898894,1,断板,38.96857143,39.25885064,1.031322922,5.78,41.85,5.634449976,12.65488672,0.702412869,0,0.297587131,1,SHSE.603110,2021/1/20 9:30,42,2021/1/21 11:28,47.01,11.86143443,1.49,2021/1/20
SZSE.002263,stock,2021/1/20,2021-01-20T16:00:00.000+0800,3.52,3.43,3.87,3.43,3.87,3.87,3.17,304330656,1129602176,9.94,4.520724773,3.71,5206642775,1,TRUE,FALSE,FALSE,,涨停,5天4板,3天3板,3.482,3.29,3.403436898,9.698258699,-2.556818182,2.48,17.62917933,1.197567422,1,0,0,1,炸板,3.16,3.247915864,2.324512421,-3.83,3.85,4.436285603,11.39240506,0.962264151,0,0.037735849,-1,SZSE.002263,2021/1/20 9:30,3.43,2021/1/21 11:28,3.74,8.972497755,1.49,2021/1/20
SHSE.600691,stock,2021/1/21,2021-01-21T16:00:00.000+0800,2.74,2.64,2.75,2.53,2.55,3.01,2.47,103108192,270508608,-6.93,9.17992878,2.62,3013376580,1,FALSE,FALSE,TRUE,断板,断板,断板,2天2板,2.562,2.507142857,2.532766638,6.746133232,-3.649635036,2.11,1.709401709,1.289528655,0.409090909,0.5,0.090909091,-1,断板,2.481428571,2.527022184,2.866126051,-0.36,2.82,2.472878176,10.42026482,0.641025641,0,0.358974359,-1,SHSE.600691,2021/1/21 9:30,2.64,2021/1/22 11:28,2.62,-0.817103354,1.49,2021/1/21
SZSE.000301,stock,2021/1/22,2021-01-22T16:00:00.000+0800,15.27,14.82,15.56,14.7,15.22,16.8,13.74,60408880,919820160,-0.33,2.094580173,15.23,18696626795,1,FALSE,FALSE,TRUE,断板,断板,断板,10天5板,14.346,13.70571429,14.09621551,0.99242784,-2.946954813,8.98,11.04857202,0.621404745,0.465116279,0.395348837,0.139534884,1,断板,13.43428571,13.72162068,0.677075224,3.6,15.07,3.835246661,13.66439813,0.221238938,0.336283186,0.442477876,1,SZSE.000301,2021/1/22 9:30,14.82,2021/1/25 11:28,15.62,5.334890761,1.49,2021/1/22
SZSE.000612,stock,2021/1/22,2021-01-22T16:00:00.000+0800,8.44,8.16,8.67,8,8.19,9.28,7.6,97789048,806041344,-2.96,9.705189705,8.24,4508582846,1,FALSE,FALSE,TRUE,断板,断板,断板,4天3板,7.944,7.555714286,7.804122036,3.074853221,-3.317535545,6.23,8.394781622,1.028313607,0.044776119,0.71641791,0.23880597,1,断板,7.374285714,7.675496047,1.718153533,3.94,8.45,4.507065436,14.45176288,0.412280702,0.315789474,0.271929825,1,SZSE.000612,2021/1/22 9:30,8.16,2021/1/25 11:28,7.99,-2.142065714,1.49,2021/1/22
SZSE.000615,stock,2021/1/22,2021-01-22T16:00:00.000+0800,11.45,11.14,11.35,10.31,10.86,12.6,10.31,72052856,764831232,-5.15,9.084980965,10.61,4830194848,1,FALSE,FALSE,TRUE,断板,断板,断板,4天2板,10.792,10.39,10.43674949,5.073258694,-2.707423581,5.38,4.523580366,1.158439033,0.269230769,0.201923077,0.528846154,-1,断板,10.15,10.29566599,1.050054245,2.88,11.29,3.666978268,12.80788177,0.063291139,0.227848101,0.708860759,-1,SZSE.000615,2021/1/22 9:30,11.14,2021/1/25 11:28,10.67,-4.276481867,1.49,2021/1/22
SHSE.600111,stock,2021/1/26,2021-01-26T16:00:00.000+0800,18.01,17.52,19.36,17.51,18.89,19.81,16.21,350605536,6491500544,4.89,18.65098572,18.52,30947218025,1,FALSE,FALSE,TRUE,断板,断板,断板,4天3板,17.722,16.89857143,17.22746191,4.765538504,-2.720710716,11.53,11.78459718,1.083117551,0.740540541,0.254054054,0.005405405,1,断板,16.17714286,16.67328255,1.323146223,-1.58,18.77,1.970546599,11.32991876,0.378205128,0.602564103,0.019230769,-1,SHSE.600111,2021/1/26 9:30,17.52,2021/1/27 11:28,17.49,-0.231112173,1.49,2021/1/26
SHSE.600428,stock,2021/1/26,2021-01-26T16:00:00.000+0800,5.5,5.34,5.56,5.12,5.26,6.05,4.95,82654896,439512064,-4.36,6.308515549,5.32,4340262369,1,FALSE,FALSE,TRUE,断板,断板,断板,5天2板,5.184,5.054285714,5.101375565,4.269038694,-2.909090909,3.78,4.070096099,0.892286443,0.181818182,0.5,0.318181818,-1,断板,4.911428571,5.048500754,1.303460656,0.36,5.54,2.43470522,11.98371146,0.381818182,0.109090909,0.509090909,-1,SHSE.600428,2021/1/26 9:30,5.34,2021/1/27 11:28,5.17,-3.241593065,1.49,2021/1/26
SHSE.603919,stock,2021/1/26,2021-01-26T16:00:00.000+0800,39.57,38,38.99,35.98,36.4,43.53,35.61,17922324,662575616,-8.01,1.783128023,36.97,5856956196,1,FALSE,FALSE,TRUE,断板,断板,断板,2天2板,38.122,36.68428571,37.32126104,7.787325474,-3.967652262,31,-0.774952296,0.780403352,0.531561462,0.328903654,0.139534884,-1,断板,36.26714286,37.62834805,1.125385246,2.25,39.55,2.352105574,9.10702328,0.113207547,0.405660377,0.481132075,1,SHSE.603919,2021/1/26 9:30,38,2021/1/27 11:28,35.45,-6.766483213,1.49,2021/1/26
SZSE.000831,stock,2021/1/26,2021-01-26T16:00:00.000+0800,17.16,16.7,18.88,16.66,18.88,18.88,15.44,98321880,1737602944,10.02,3.999543905,17.67,10678210363,1,TRUE,FALSE,FALSE,,涨停,5天3板,2天2板,17.518,16.85285714,17.10718257,9.761787697,-2.680652681,12.4,12.02848182,0.957942648,0.981981982,0,0.018018018,1,断板,16.26285714,16.51624343,1.164518313,-3.97,17.7,3.907520634,5.516514406,0.306451613,0.612903226,0.080645161,-1,SZSE.000831,2021/1/26 9:30,16.7,2021/1/27 11:28,18.1,8.318223096,1.49,2021/1/26
SHSE.601015,stock,2021/1/28,2021-01-28T16:00:00.000+0800,7.3,6.98,7.31,6.57,6.57,8.03,6.57,149863552,1015411456,-10,2.055781841,6.78,3043293162,1,FALSE,FALSE,TRUE,断板,断板,断板,8天7板,6.992,6.63,6.510510891,9.795663805,-4.383561644,3.62,-0.904977376,1.202900027,0.554054054,0.445945946,0,-1,炸板,6.398571429,6.490681188,1.896293395,-5.32,7.6,5.708224164,14.08796606,0.688311688,0.077922078,0.233766234,-1,SHSE.601015,2021/1/28 9:30,6.98,2021/1/29 11:28,6.25,-10.51216154,1.49,2021/1/28
