code,name,trading_date,open,high,low,close,pre_close,volume,amount,limit_up,limit_down,is_st,is_suspended,adj_factor,turnover_rate,total_mv,mv_A_free_float,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,avg_limit_turnover_5,sma_5,sma_7,open_pct,close_sma7_pct,vwap,touch_limit_down,pct,lowest_30,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,signal,code_right,trading_date_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason
SHSE.601086,国芳集团,2024-01-15,6.0,6.65,6.0,6.41,6.22,83142468.0,529326964.24,6.84,5.6,false,false,1.30620221,12.4839,42.6906,42.6906,false,false,true,断板,断板,断板,2天2板,5.192,6.16,5.93,-3.5369774919614105,8.094435075885336,636.6505312784316,false,0.030546623794212246,5.25,炸板,5.797142857142857,-0.06325301204819278,668.4350194517162,7.294233612617049,1,SHSE.601086,2024-01-15,2024-01-15T09:30:00.000000,6.0,2024-01-16T11:30:00.000000,6.15,1.683266932270914,1.5,未涨停卖出
SHSE.603032,德新科技,2024-01-15,21.36,22.52,21.36,21.5,21.94,17512380.0,379678268.81,24.13,19.75,false,false,1.69439826,7.677,50.623083,49.044940000000004,false,false,false,,未涨停,未涨停,2天2板,7.8293,21.984,21.134285714285713,-2.6435733819507834,1.7304312559145638,2168.056362470435,false,-0.020054694621695623,18.85,断板,20.837142857142858,-0.03134657836644583,2238.401495255028,5.292746469217059,1,SHSE.603032,2024-01-15,2024-01-15T09:30:00.000000,21.36,2024-01-16T11:30:00.000000,21.07,-2.1436725010071997,1.5,未涨停卖出
SHSE.603798,康普顿,2024-01-15,11.25,12.35,10.58,12.0,11.7,43370365.0,501686267.11,12.87,10.53,false,false,2.78842258,16.9118,30.773958,30.773958,false,false,false,,未涨停,未涨停,2天2板,9.56625,11.552,11.088571428571429,-3.84615384615384,8.219531048698785,1156.7490084761796,true,0.025641025641025772,9.65,断板,10.838571428571429,0.03174603174603163,1144.8087281422806,7.947805456702244,1,SHSE.603798,2024-01-15,2024-01-15T09:30:00.000000,11.25,2024-01-16T11:30:00.000000,11.24,-0.8849933598937679,1.5,未涨停卖出
SHSE.603877,太平鸟,2024-01-16,17.9,18.18,17.3,17.5,18.4,12161910.0,214331926.93,20.24,16.56,false,false,1.21685025,2.573,82.92184355,82.71656855,false,false,false,,未涨停,未涨停,3天3板,1.7995333333333334,18.428,17.554285714285715,-2.717391304347826,-0.3092447916666716,1762.3212713299145,false,-0.048913043478260754,14.62,断板,17.354285714285716,-0.03412073490813661,1848.6163623738707,6.025683240039495,1,SHSE.603877,2024-01-16,2024-01-16T09:30:00.000000,17.9,2024-01-17T11:30:00.000000,17.51,-2.958222974025671,1.5,未涨停卖出
SZSE.002641,公元股份,2024-01-17,6.1,6.18,5.66,5.66,6.29,147390115.0,867971361.58,6.92,5.66,false,false,6.29640767,12.9931,69.5667130986,64.1866443598,false,false,false,,未涨停,未涨停,4天4板,2.3834,6.516,6.265714285714286,-3.0206677265500854,-9.667122663018699,588.8938763498488,true,-0.10015898251192368,4.84,断板,6.154285714285714,-0.09885386819484243,642.9557671014535,2.205199628597964,1,SZSE.002641,2024-01-17,2024-01-17T09:30:00.000000,6.1,2024-01-18T11:30:00.000000,5.72,-6.976683430213552,1.5,未涨停卖出
SHSE.600200,退市苏吴,2024-01-29,9.37,9.73,8.99,9.43,9.77,91589433.0,857862507.11,10.75,8.79,false,false,7.39796979,12.908,67.1685539576,66.9113315647,false,false,true,断板,断板,断板,3天3板,6.6776333333333335,9.78,9.391428571428571,-4.094165813715459,0.4107088530574959,936.6391722394438,false,-0.03480040941658136,8.11,断板,9.34142857142857,-0.10036832412523022,1031.0772527815807,4.587857470561251,1,SHSE.600200,2024-01-29,2024-01-29T09:30:00.000000,9.37,2024-01-30T11:30:00.000000,9.45,0.05017284118593486,1.5,未涨停卖出
SZSE.000017,深中华A,2024-01-29,12.31,13.1,11.88,12.6,12.8,114693804.0,1430687473.1,14.08,11.52,false,false,2.10701766,37.8546,55.543565826000005,38.17610559,false,false,true,断板,断板,断板,13天12板,33.3986,12.8,12.308571428571428,-3.8281250000000018,2.367688022284126,1247.3973512117534,false,-0.01562500000000011,4.31,炸板,11.87857142857143,-0.05395417590539531,1390.4974549932506,7.7570655441972285,1,SZSE.000017,2024-01-29,2024-01-29T09:30:00.000000,12.31,2024-01-30T11:30:00.000000,12.82,3.3131487049365567,1.5,未涨停卖出
SZSE.002731,ST萃华,2024-01-29,12.54,12.74,11.7,11.7,13.0,21036410.0,251052005.05,14.3,11.7,false,false,1.73029875,8.6438,29.970252000000002,25.41276504,false,false,false,,未涨停,未涨停,7天3板,15.78895,12.854,12.895714285714286,-3.538461538461545,-9.272183449651054,1193.4165812988053,true,-0.10000000000000009,10.84,断板,12.95142857142857,-0.043414275202354635,1319.481613281623,0.3750275755570359,1,SZSE.002731,2024-01-29,2024-01-29T09:30:00.000000,12.54,2024-01-30T11:30:00.000000,10.62,-15.98581749556799,1.5,止损卖出
SHSE.601113,华鼎股份,2024-01-25,3.93,3.98,3.65,3.92,4.06,151313449.0,581576610.42,4.47,3.65,false,false,2.11661965,13.704,43.2827672592,43.2827672592,false,false,false,,未涨停,未涨停,2天2板,7.4955,4.029999999999999,3.8785714285714286,-3.2019704433497407,1.068139963167586,384.3522266285794,true,-0.03448275862068961,3.39,断板,3.817142857142857,-0.021686746987952032,399.435730844505,6.362275449101785,1,SHSE.601113,2024-01-25,2024-01-25T09:30:00.000000,3.93,2024-01-26T11:30:00.000000,4.12,3.9992700951917413,1.5,未涨停卖出
SHSE.605255,天普股份,2024-01-25,19.2,19.68,18.63,19.68,19.75,11394529.0,220111726.36,21.73,17.78,false,false,1.09217843,8.4983,26.386944,26.386944,false,false,false,,未涨停,未涨停,2天1板,13.8673,19.726,19.271428571428572,-2.784810126582282,2.1200889547813135,1931.7316789487306,false,-0.0035443037974683955,16.91,断板,18.96857142857143,-0.010025062656641603,1936.7333362318168,4.119596324747697,1,SHSE.605255,2024-01-25,2024-01-25T09:30:00.000000,19.2,2024-01-26T11:30:00.000000,19.27,-0.4351344621513741,1.5,未涨停卖出
SHSE.603199,九华旅游,2024-01-18,30.7,31.3,29.43,30.49,31.96,13435302.0,404298407.72,35.16,28.76,false,false,1.04964219,12.1389,33.746332,33.746332,false,false,true,断板,断板,断板,2天2板,11.34,30.977999999999998,30.344285714285714,-3.9424280350438092,0.4802033802551617,3009.2245616808614,false,-0.04599499374217775,25.88,断板,30.21142857142857,-0.05415803492157434,3283.646956086323,5.787781350482323,1,SHSE.603199,2024-01-18,2024-01-18T09:30:00.000000,30.7,2024-01-19T15:00:00.000000,32.5,5.0196607705983975,2.0,未涨停卖出
SZSE.002584,西陇科学,2024-01-18,10.77,10.84,10.13,10.55,11.09,108628553.0,1138010232.7,12.2,9.98,false,false,2.67953716,25.1169,61.740332521000006,45.627884478000006,false,false,false,,未涨停,未涨停,6天3板,28.40305,10.632,10.455714285714285,-2.8854824165915267,0.9017625358655726,1047.616120505628,false,-0.048692515779981904,8.89,断板,10.364285714285714,0.024007386888273308,1099.812166847709,7.002067539627846,1,SZSE.002584,2024-01-18,2024-01-18T09:30:00.000000,10.77,2024-01-19T11:30:00.000000,10.62,-2.178472738572176,1.5,未涨停卖出
SHSE.600097,开创国际,2024-01-30,10.84,11.38,10.3,11.05,11.23,17096300.0,188310911.0,12.35,10.11,false,false,1.1099304,7.0958,26.623489769499997,26.623489769499997,false,false,false,,未涨停,未涨停,2天2板,6.4197,11.016,10.582857142857142,-3.4728406055209313,4.4141468682505565,1101.4717278007522,false,-0.016028495102404228,9.22,断板,10.474285714285713,0.017210144927536364,1113.0290796155914,7.214948172394994,1,SHSE.600097,2024-01-30,2024-01-30T09:30:00.000000,10.84,2024-01-31T11:30:00.000000,11.06,1.2165360697431686,1.5,未涨停卖出
SHSE.600638,新黄浦,2024-01-30,5.24,5.55,5.06,5.06,5.4,29129526.0,153381072.8,5.94,4.86,false,false,12.09542029,4.3258,34.0738773716,34.0738773716,false,false,false,,未涨停,未涨停,2天2板,3.3707000000000003,5.4399999999999995,5.241428571428571,-2.9629629629629655,-3.4614336331425473,526.5484676956296,false,-0.06296296296296311,4.58,断板,5.237142857142857,-0.05429071803852881,556.7371623996297,3.1096563011456793,1,SHSE.600638,2024-01-30,2024-01-30T09:30:00.000000,5.24,2024-01-31T11:30:00.000000,5.1,-3.447279583954262,1.5,未涨停卖出
SHSE.603600,永艺股份,2024-01-26,12.5,12.66,12.07,12.16,13.0,22137380.0,273999701.41,14.3,11.7,false,false,3.13160593,7.3178,40.4815855616,36.785537024,false,false,true,断板,断板,断板,4天2板,5.69425,12.326,12.227142857142857,-3.8461538461538463,-0.5491295712115868,1237.724163428554,false,-0.06461538461538463,10.81,断板,12.117142857142857,0.0375099760574622,1241.7633633376518,7.286017448714924,1,SHSE.603600,2024-01-26,2024-01-26T09:30:00.000000,12.5,2024-01-29T11:30:00.000000,11.74,-6.828366533864556,1.5,未涨停卖出
SZSE.002731,ST萃华,2024-01-26,12.98,14.27,12.61,13.0,13.59,33687088.0,444494932.21,14.95,12.23,false,false,1.73029875,13.8419,33.30028,28.2364056,false,false,true,断板,断板,断板,7天3板,15.78895,13.238,12.95142857142857,-4.488594554819716,0.3750275755570359,1319.481613281623,false,-0.043414275202354635,10.84,断板,12.915714285714285,-0.0014695077149154967,1387.2129524831012,5.220661431257605,1,SZSE.002731,2024-01-26,2024-01-26T09:30:00.000000,12.98,2024-01-29T11:30:00.000000,11.73,-10.350278393360309,1.5,止损卖出
SHSE.600622,光大嘉宝,2024-02-22,2.63,2.74,2.58,2.7,2.76,129614421.0,343674528.67,3.04,2.48,false,false,185.43139687,8.6428,40.491505854,40.491505854,false,false,true,断板,断板,断板,3天3板,8.456966666666666,2.7,2.595714285714286,-4.710144927536229,4.017611447440828,265.1514592423323,false,-0.021739130434782483,2.1,断板,2.6,-0.061224489795918435,281.7998996420981,6.153846153846142,1,SHSE.600622,2024-02-22,2024-02-22T09:30:00.000000,2.63,2024-02-23T11:30:00.000000,2.64,-0.4196143183918226,1.5,未涨停卖出
SHSE.603803,瑞斯康达,2024-02-29,5.98,6.52,5.98,6.43,6.27,21492666.0,136075143.37,6.9,5.64,false,false,1.06813611,5.0585,27.990790315100003,27.320012715100003,false,false,false,,未涨停,未涨停,2天2板,5.3401,6.595999999999999,6.314285714285714,-4.625199362041454,1.832579185520361,633.1236123522322,false,0.02551834130781505,3.89,断板,6.1499999999999995,-0.1004304160688666,669.2767098573677,1.9512195121951237,1,SHSE.603803,2024-02-29,2024-02-29T09:30:00.000000,5.98,2024-03-01T11:30:00.000000,6.45,7.000093272395377,1.5,未涨停卖出
SHSE.603990,麦迪科技,2024-02-29,10.8,11.46,10.6,11.39,11.14,19330451.0,216565971.4,12.25,10.03,false,false,3.12415755,6.9431,34.8856030609,31.7109624423,false,false,false,,未涨停,未涨停,2天2板,3.97025,11.258,10.91,-3.0520646319569105,4.3996333638863465,1120.33584420767,false,0.022441651705565446,8.12,炸板,10.602857142857143,-0.0017921146953404632,1161.9955071502218,5.06601994071679,1,SHSE.603990,2024-02-29,2024-02-29T09:30:00.000000,10.8,2024-03-01T11:30:00.000000,11.2,2.8773793714032645,1.5,未涨停卖出
SZSE.002587,奥拓电子,2024-02-29,5.67,6.31,5.61,6.25,5.9,47715191.0,287926711.9,6.49,5.31,false,false,7.53932152,9.2611,40.72150975,32.2014365,false,false,false,,未涨停,未涨停,2天2板,9.722,6.272,6.015714285714286,-3.89830508474577,3.8945618617905438,603.4277676893297,false,0.05932203389830493,4.15,断板,5.872857142857143,-0.09923664122137399,627.6060399435659,0.4621746533690174,1,SZSE.002587,2024-02-29,2024-02-29T09:30:00.000000,5.67,2024-03-01T11:30:00.000000,6.16,7.776302198612944,1.5,未涨停卖出
SZSE.000017,深中华A,2024-02-26,11.19,12.78,11.04,12.78,11.62,123105168.0,1499474320.06,12.78,10.46,false,false,2.10701766,40.6308,56.3370453378,38.721478527,true,false,false,,涨停,5天3板,2天2板,35.069599999999994,11.866,11.282857142857141,-3.7005163511187584,13.269182071410496,1218.0433562789176,false,0.09982788296041312,4.44,断板,10.978571428571428,-0.005136986301369939,1162.650409872261,5.842550422901757,1,SZSE.000017,2024-02-26,2024-02-26T09:30:00.000000,11.19,2024-02-27T11:30:00.000000,12.15,7.713916452153861,1.5,未涨停卖出
SHSE.603363,傲农生物,2024-03-01,4.05,4.17,3.9,3.93,4.22,69705515.0,277967714.82,4.64,3.8,false,false,1.32937469,9.4522,34.2017973606,28.9819826004,false,false,false,,未涨停,未涨停,8天6板,8.3971,4.276000000000001,4.115714285714286,-4.028436018957344,-4.512322110378335,398.7743506665147,false,-0.06872037914691931,2.38,断板,4.014285714285714,-0.004716981132075526,405.8867746608832,5.124555160142344,1,SHSE.603363,2024-03-01,2024-03-01T09:30:00.000000,4.05,2024-03-04T11:30:00.000000,3.96,-3.0013280212483373,1.5,未涨停卖出
SHSE.603933,睿能科技,2024-03-01,13.85,15.63,13.69,15.63,14.21,24885322.0,371358415.7,15.63,12.79,false,false,2.07498403,11.9904,32.8588825725,32.4392170725,true,false,false,,涨停,11天9板,8天8板,2.799666666666667,15.362,14.741428571428571,-2.533427163969044,6.027715863940312,1492.2789253038397,false,0.09992962702322306,7.58,断板,14.14,-0.05581395348837204,1393.375834362981,0.49504950495049704,1,SHSE.603933,2024-03-01,2024-03-01T09:30:00.000000,13.85,2024-03-04T11:30:00.000000,16.28,16.60851180117077,1.5,未涨停卖出
SHSE.600825,新华传媒,2024-01-10,4.96,5.08,4.8,4.89,5.2,104073946.0,510923867.55,5.72,4.68,false,false,11.35368898,9.9603,51.095015865,51.095015865,false,false,true,断板,断板,断板,4天2板,2.5461,4.942,4.88,-4.615384615384619,0.20491803278688087,490.92389323837114,false,-0.05961538461538474,4.47,炸板,4.878333333333333,0.013645224171540127,542.4959879650492,6.593782029381631,1,SHSE.600825,2024-01-10,2024-01-10T09:30:00.000000,4.96,2024-01-11T11:30:00.000000,4.82,-3.596902711733703,1.5,未涨停卖出
SZSE.002395,双象股份,2024-01-10,21.0,23.79,21.0,23.1,21.63,61858942.0,1435908369.49,23.79,19.47,false,false,3.26607356,23.0637,61.956279,61.956279,false,true,false,,炸板,7天2板,5天2板,12.5335,20.866,20.917142857142856,-2.9126213592232966,10.435732823384795,2321.2624126193427,false,0.06796116504854388,17.95,炸板,20.55333333333333,0.005111524163568637,2258.906459382574,5.238404151800202,1,SZSE.002395,2024-01-10,2024-01-10T09:30:00.000000,21.0,2024-01-11T09:30:00.000000,20.9,-1.2692088787706162,1.0,大幅低开卖出
SZSE.000595,*ST宝实,2024-01-05,5.99,6.7,5.54,6.4,6.15,169896343.0,1017205116.04,6.77,5.54,false,false,3.03086199,14.9265,72.874007424,72.845450752,false,false,true,断板,断板,断板,2天2板,3.1334500000000003,6.13,6.13,-2.6016260162601648,4.404567699836876,598.721018992151,true,0.04065040650406493,5.2,炸板,6.04,-0.019138755980861122,663.289967260668,1.8211920529801375,1,SZSE.000595,2024-01-05,2024-01-05T09:30:00.000000,5.99,2024-01-08T09:30:00.000000,5.91,-2.1217301079488617,1.0,大幅低开卖出
SZSE.002347,泰尔股份,2024-01-12,6.69,6.76,6.35,6.44,6.9,112051729.0,731620076.66,7.59,6.21,false,false,3.93076291,22.7109,32.502826574400004,31.7738588244,false,false,false,,未涨停,未涨停,3天2板,14.38085,6.890000000000001,6.694285714285714,-3.0434782608695645,-3.7985488689713938,652.9306447917461,false,-0.06666666666666665,6.07,断板,6.708571428571429,-0.014285714285714235,663.5364947004085,2.8534923339011904,1,SZSE.002347,2024-01-12,2024-01-12T09:30:00.000000,6.69,2024-01-15T11:30:00.000000,6.21,-7.914530219927454,1.5,未涨停卖出
SZSE.003025,思进智能,2024-01-12,16.8,17.28,15.78,15.78,17.53,50199885.0,823128311.53,19.28,15.78,false,false,3.0801728,21.2147,37.339892877,31.362596302800004,false,false,false,,未涨停,未涨停,4天4板,17.1493,17.768,17.052857142857142,-4.164289788933259,-7.464186981653683,1639.7015880215663,true,-0.09982886480319464,12.98,断板,16.687142857142856,-0.057019903173749276,1711.8850782362617,5.050937419741475,1,SZSE.003025,2024-01-12,2024-01-12T09:30:00.000000,16.8,2024-01-15T11:30:00.000000,15.32,-9.536141149686982,1.5,未涨停卖出
SHSE.603038,华立股份,2024-01-22,15.69,17.08,14.54,15.03,16.15,55079773.0,873696101.39,17.77,14.54,false,false,2.93862393,26.6505,31.0632069591,31.0632069591,false,false,true,断板,断板,断板,6天5板,24.387733333333333,16.052,15.894285714285713,-2.8482972136222853,-5.437713463958294,1586.2376582234645,true,-0.06934984520123832,11.46,断板,15.664285714285713,-0.09977703455964337,1832.3416617224248,3.1007751937984502,1,SHSE.603038,2024-01-22,2024-01-22T09:30:00.000000,15.69,2024-01-23T09:30:00.000000,13.79,-12.809945685708406,1.0,大幅低开卖出
SHSE.603199,九华旅游,2024-01-22,31.35,31.47,29.26,29.26,32.51,11429065.0,346227325.63,35.76,29.26,false,false,1.04964219,10.3262,32.384968,32.384968,false,false,false,,未涨停,未涨停,2天2板,11.34,31.601999999999997,30.951428571428572,-3.5681328821900853,-5.4647835318009745,3029.358268852264,true,-0.09996924023377407,25.88,炸板,30.90142857142857,0.06625122991144639,3223.8115011962223,5.2054921177939,1,SHSE.603199,2024-01-22,2024-01-22T09:30:00.000000,31.35,2024-01-23T11:30:00.000000,28.68,-9.245696639280194,1.5,未涨停卖出
SHSE.605100,华丰股份,2024-01-22,16.69,17.33,16.44,17.01,17.49,15896319.0,268855523.99,19.24,15.74,false,false,2.07165065,9.3545,28.9054332,28.9054332,false,false,true,断板,断板,断板,2天1板,14.9186,17.048,16.66857142857143,-4.57404230989135,2.0483373328762493,1691.3067986997494,false,-0.02744425385934801,15.53,断板,16.492857142857144,-0.04426229508196733,1722.2317022321934,6.04590731918578,1,SHSE.605100,2024-01-22,2024-01-22T09:30:00.000000,16.69,2024-01-23T11:30:00.000000,15.42,-8.345527416994686,1.5,未涨停卖出
SZSE.000532,华金资本,2024-01-22,13.44,14.43,13.27,13.55,14.13,48387807.0,669201165.22,15.54,12.72,false,false,2.8230218,14.0847,46.70798007,46.550990583,false,false,false,,未涨停,未涨停,2天2板,18.15345,14.666,14.182857142857143,-4.8832271762208155,-4.462127316680094,1382.9954418475713,false,-0.04104741684359514,11.76,断板,14.118571428571428,-0.09999999999999987,1430.0082065613162,0.08094708084590427,1,SZSE.000532,2024-01-22,2024-01-22T09:30:00.000000,13.44,2024-01-23T11:30:00.000000,14.13,4.2962080250426995,1.5,未涨停卖出
SZSE.002103,广博股份,2024-01-22,8.03,9.23,8.03,8.63,8.39,137833934.0,1230275174.07,9.23,7.55,false,false,2.37368822,36.5534,46.1077558439,32.5415887244,false,true,false,,炸板,6天2板,3天2板,17.7936,8.452000000000002,8.245714285714287,-4.290822407628143,4.660429660429649,892.5778568215285,false,0.028605482717520836,7.22,断板,8.122857142857143,-0.015258215962441146,855.8707069557996,3.288779458318686,1,SZSE.002103,2024-01-22,2024-01-22T09:30:00.000000,8.03,2024-01-24T11:30:00.000000,8.27,2.1681642049485808,2.5,未涨停卖出
SZSE.002076,*ST星光,2024-03-20,2.45,2.57,2.43,2.51,2.52,151671713.0,377827568.92,2.77,2.27,false,false,6.72016681,14.6311,27.8390247241,26.0196673383,false,false,false,,未涨停,未涨停,5天5板,8.800366666666665,2.646,2.544285714285714,-2.7777777777777715,-1.3475575519371128,249.10878992973463,false,-0.003968253968254065,1.16,断板,2.468571428571429,-0.052631578947368474,253.12261277508236,2.083333333333322,1,SZSE.002076,2024-03-20,2024-03-20T09:30:00.000000,2.45,2024-03-21T11:30:00.000000,2.41,-2.4164566224896338,1.5,未涨停卖出
SZSE.002313,日海智能,2024-03-20,11.6,11.81,11.01,11.65,11.95,39087412.0,451166435.61,13.15,10.76,false,false,2.68599372,10.4444,43.6176,43.6171543875,false,false,false,,未涨停,未涨停,6天4板,11.292100000000001,11.383999999999999,11.435714285714285,-2.9288702928870265,1.8738288569644064,1154.2499554843896,false,-0.025104602510460206,4.64,断板,11.284285714285714,0.02928509905254084,1177.7898428548558,5.899480946955309,1,SZSE.002313,2024-03-20,2024-03-20T09:30:00.000000,11.6,2024-03-21T11:30:00.000000,11.34,-3.020332463250434,1.5,未涨停卖出
SHSE.600446,金证股份,2024-02-07,11.43,12.9,11.35,12.61,11.79,127158912.0,1559372040.13,12.97,10.61,false,false,12.57889641,13.4548,119.1752191305,119.1752191305,false,false,false,,未涨停,未涨停,2天1板,6.8215,11.792,11.382857142857144,-3.053435114503812,10.78062248995982,1226.3175388996722,false,0.06955046649703145,9.42,断板,11.054285714285713,0.0068317677198974636,1132.1938672124102,6.655466528818817,1,SHSE.600446,2024-02-07,2024-02-07T09:30:00.000000,11.43,2024-02-08T11:30:00.000000,12.4,7.6220054166535975,1.5,未涨停卖出
SHSE.600629,华建集团,2024-02-02,6.13,6.67,5.79,5.79,6.43,159871297.0,974667539.06,7.07,5.79,false,false,8.29517277,16.9237,56.195194600200004,54.6957534366,false,false,true,断板,断板,断板,7天6板,17.976399999999998,6.35,6.324285714285714,-4.6656298600311015,-8.44815902416986,609.6576166890045,true,-0.09953343701399686,4.45,断板,6.271428571428571,-0.09943977591036413,667.0606413536284,2.5284738041002246,1,SHSE.600629,2024-02-02,2024-02-02T09:30:00.000000,6.13,2024-02-05T09:30:00.000000,5.33,-13.743395098236746,1.0,大幅低开卖出
SHSE.600639,浦东金桥,2024-02-02,13.3,15.14,13.3,15.14,13.76,99788850.0,1458312113.23,15.14,12.38,false,false,5.05450015,11.7366,128.7258368342,128.7258368342,true,false,false,,涨停,9天6板,5天5板,2.0474500000000004,14.016,13.687142857142858,-3.343023255813947,10.614758375952405,1461.397854800411,false,0.10029069767441867,9.16,炸板,13.115714285714287,0.05846153846153834,1398.2610329315282,4.912318919507671,1,SHSE.600639,2024-02-02,2024-02-02T09:30:00.000000,13.3,2024-02-05T09:30:00.000000,13.63,1.6646197166222085,1.0,大幅低开卖出
