code,name,trading_date,open,high,low,close,pre_close,volume,amount,limit_up,limit_down,is_st,is_suspended,adj_factor,turnover_rate,total_mv,mv_A_free_float,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,relative_position,open_pct,continue_limit_count,prev_is_limit_up,prev_limit_desc,prev_continue_limit_count,prev_relative_position,signal,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason,trading_date_right,weight_profit
SHSE.603276,恒兴新材,2023-09-26,29.6,29.96,27.01,27.04,30.54,18184904.0,510286921.44,0.0,0.0,False,False,1.0,47.8379,4326400000.0,1027888365.92,True,False,False,,涨停,2天2板,1天1板,0.010169491525422913,-3.077930582842167,0,True,1天1板,0,0.00283286118980164,1,SHSE.603276,2023-09-26 09:30:00,29.6,2023-09-28 11:30:00,26.53,-11.085791967266077,2.5,止损卖出,2023-09-26,-4.4343167869064315
SHSE.603312,西典新能,2024-01-16,44.88,45.52,42.3,42.85,46.72,17534087.0,767015472.12,0.0,0.0,False,False,1.0,51.445,6924560000.0,1460462934.65,True,False,False,,涨停,4天4板,3天3板,0.17080745341615008,-3.9383561643835536,0,True,3天3板,0,0.3938679245283021,1,SHSE.603312,2024-01-16 09:30:00,44.88,2024-01-17 11:30:00,40.33,-10.85417687538618,1.5,止损卖出,2024-01-16,-4.3416707501544725
SHSE.603231,索宝蛋白,2023-12-21,25.11,27.8,24.7,26.62,25.98,21152773.0,558498731.31,0.0,0.0,False,False,1.0,45.0966,5096641375.1,1248624356.76,True,False,False,,涨停,5天5板,4天4板,0.6193548387096777,-3.3487297921478096,0,True,4天4板,0,0.08093994778067855,1,SHSE.603231,2023-12-21 09:30:00,25.11,2023-12-22 11:30:00,26.68,5.405855669317957,1.5,未涨停卖出,2023-12-21,2.162342267727183
SHSE.603107,上海汽配,2023-11-03,37.62,39.99,34.38,34.44,38.98,40962625.0,1508010652.5,0.0,0.0,False,False,1.0,49.5639,11617817400.0,2846330306.4,True,False,False,,涨停,3天3板,2天2板,0.01069518716577454,-3.488968701898408,0,True,2天2板,0,0.4999999999999995,1,SHSE.603107,2023-11-03 09:30:00,37.62,2023-11-06 11:30:00,31.61,-16.64506249324869,1.5,止损卖出,2023-11-03,-6.658024997299477
SHSE.603193,润本股份,2023-10-20,17.5,19.33,16.9,18.9,18.19,24650974.0,439346420.74,0.0,0.0,False,False,1.0,41.8775,7646813634.6,1112538955.5,True,False,False,,涨停,4天4板,3天3板,0.8230452674897121,-3.7932930181418434,0,True,3天3板,0,0.39259259259259305,1,SHSE.603193,2023-10-20 09:30:00,17.5,2023-10-24 11:30:00,17.46,-1.0235628912919674,2.5,未涨停卖出,2023-10-20,-0.409425156516787
SHSE.603350,安乃达,2024-07-09,38.96,39.98,35.56,36.9,40.5,16910404.0,634301308.92,0.0,0.0,False,False,1.0,59.5118,4280400000.0,1048521359.7,True,False,False,,涨停,5天5板,4天4板,0.30316742081447917,-3.8024691358024674,0,True,4天4板,0,0.12126537785588717,1,SHSE.603350,2024-07-09 09:30:00,38.96,2024-07-10 11:30:00,34.89,-11.160184723119844,1.5,止损卖出,2024-07-09,-4.4640738892479375
SHSE.603172,万丰股份,2023-05-12,16.55,17.77,16.16,16.76,17.1,11628552.0,196382425.53,0.0,0.0,False,False,1.0,35.5509,2235448800.0,548212812.2,True,False,False,,涨停,3天3板,2天2板,0.3726708074534172,-3.216374269005852,0,True,2天2板,0,0.3196721311475413,1,SHSE.603172,2023-05-12 09:30:00,16.55,2023-05-17 11:30:00,16.45,-1.3962277777109047,3.5,未涨停卖出,2023-05-12,-0.5584911110843619
SHSE.603391,力聚热能,2024-08-02,51.35,52.15,48.9,49.04,52.98,9480960.0,476564995.27,0.0,0.0,False,False,1.0,42.5331,4462640000.0,1093138674.24,True,False,False,,涨停,3天3板,2天2板,0.04307692307692325,-3.076632691581721,0,True,2天2板,0,0.060737527114966175,1,SHSE.603391,2024-08-02 09:30:00,51.35,2024-08-06 15:00:00,46.25,-10.64951489077769,3.0,止损卖出,2024-08-02,-4.259805956311076
SZSE.001376,百通能源,2023-11-07,33.8,34.5,31.71,31.82,34.99,25305534.0,824622025.29,0.0,0.0,False,False,1.0,54.9046,14665838000.0,1466583800.0,True,False,False,,涨停,3天3板,2天2板,0.03942652329749085,-3.4009717062017857,0,True,2天2板,0,0.5407407407407414,1,SZSE.001376,2023-11-07 09:30:00,33.8,2023-11-09 11:30:00,30.44,-10.658431363304167,2.5,止损卖出,2023-11-07,-4.263372545321667
SHSE.603175,超颖电子,2025-10-28,79.95,85.63,76.78,77.4,83.01,23308548.0,1861154714.05,0.0,0.0,False,False,1.0,52.9748,33826069445.4,3405546439.2,True,False,False,,涨停,3天3板,2天2板,0.0700564971751418,-3.686302855077704,0,True,2天2板,0,0.25679275439531213,1,SHSE.603175,2025-10-28 09:30:00,79.95,2025-10-31 11:30:00,74.48,-7.584072714769445,3.5,未涨停卖出,2025-10-28,-3.033629085907778
