code,name,trading_date,open,high,low,close,pre_close,volume,amount,limit_up,limit_down,is_st,is_suspended,adj_factor,turnover_rate,total_mv,mv_A_free_float,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,avg_limit_turnover_5,sma_5,sma_7,open_pct,close_sma7_pct,vwap,touch_limit_down,pct,lowest_30,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,signal,code_right,trading_date_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason
SHSE.601616,广电电气,2025-01-02,4.23,4.38,3.95,4.06,4.39,126015119.0,525797296.76,4.83,3.95,false,false,2.16707737,14.7615,34.6592179514,34.6592179514,false,false,true,断板,断板,断板,2天2板,3.76455,4.2,4.072857142857143,-3.64464692482914,-0.31567870922484537,417.2493752594877,true,-0.0751708428246014,3.6,断板,4.031428571428571,-0.04357298474945537,462.29986154438154,8.894401133947555,1,SHSE.601616,2025-01-02,2025-01-02T09:30:00.000000,4.23,2025-01-03T11:30:00.000000,3.88,-9.005114294594694,1.5,未涨停卖出
SHSE.603825,ST华扬,2025-01-02,14.66,15.21,14.03,14.77,15.09,33232800.0,487940194.2,16.6,13.58,false,false,1.49673113,13.118,37.4178087304,37.4178087304,false,false,true,断板,断板,断板,3天2板,10.9677,14.416000000000002,14.010000000000002,-2.8495692511597066,5.424696645253375,1468.2488210442696,false,-0.021206096752816483,11.78,断板,13.754285714285714,0.0230508474576272,1494.290388601936,9.711258828417115,1,SHSE.603825,2025-01-02,2025-01-02T09:30:00.000000,14.66,2025-01-03T11:30:00.000000,13.91,-5.872009913959444,1.5,未涨停卖出
SHSE.605488,福莱新材,2025-01-02,20.51,21.5,20.28,20.94,21.11,7550192.0,157168506.42,23.22,19.0,false,false,1.55587155,3.9452,40.7811806196,40.0742901936,false,false,false,,未涨停,未涨停,4天2板,2.208,21.112000000000002,20.599999999999998,-2.8422548555187013,1.6504854368932207,2081.6491344855863,false,-0.008053055423969613,14.11,断板,20.09,-0.057168378740509174,2147.612830704509,5.077152812344448,1,SHSE.605488,2025-01-02,2025-01-02T09:30:00.000000,20.51,2025-01-03T11:30:00.000000,19.98,-3.360327582891249,1.5,未涨停卖出
SZSE.002364,中恒电气,2025-01-02,10.37,11.87,10.22,11.87,10.79,134429172.0,1545546288.67,11.87,9.71,false,false,6.68020566,24.0867,66.895160752,66.2469964345,true,false,false,,涨停,8天4板,5天3板,32.5582,11.216,10.865714285714285,-3.8924930491195546,9.242703129108602,1149.7104874453887,false,0.1000926784059315,6.93,断板,10.44,-0.06173913043478263,1176.2593020487523,3.352490421455936,1,SZSE.002364,2025-01-02,2025-01-02T09:30:00.000000,10.37,2025-01-03T11:30:00.000000,10.95,4.751677955487618,1.5,未涨停卖出
SHSE.600223,福瑞达,2024-12-27,8.25,8.38,7.83,8.04,8.49,70222656.0,567992409.76,9.34,7.64,false,false,1.56344021,6.9078,81.73212951000001,81.73212951000001,false,false,true,断板,断板,断板,2天2板,3.5757999999999996,8.017999999999997,7.79142857142857,-2.826855123674914,3.190319031903198,808.8449541982576,false,-0.05300353356890475,6.71,断板,7.668571428571427,-0.013937282229965042,874.8296635696702,10.71162444113266,1,SHSE.600223,2024-12-27,2024-12-27T09:30:00.000000,8.25,2024-12-30T11:30:00.000000,7.74,-6.929373415429195,1.5,未涨停卖出
SHSE.603500,祥和实业,2024-12-27,7.7,8.7,7.57,8.36,8.07,47453966.0,387706438.14,8.88,7.26,false,false,2.9939581,13.9244,28.7372731096,28.4905720176,false,false,true,断板,断板,断板,2天1板,13.1521,7.6579999999999995,7.408571428571428,-4.584882280049567,12.84226764365599,817.0158804851001,false,0.035935563816604565,6.52,炸板,7.171428571428572,0.018939393939394034,807.0441149840171,12.529880478087648,1,SHSE.603500,2024-12-27,2024-12-27T09:30:00.000000,7.7,2024-12-30T11:30:00.000000,8.08,4.098928959486718,1.5,未涨停卖出
SHSE.605001,威奥股份,2024-12-27,7.78,7.97,7.45,7.5,8.04,50002255.0,382824871.32,8.84,7.24,false,false,1.37128857,12.7269,29.466450000000002,29.466450000000002,false,false,false,,未涨停,未涨停,2天2板,4.7167,8.038,7.785714285714286,-3.233830845771131,-3.6697247706422,765.6152133938759,false,-0.06716417910447747,5.87,断板,7.7542857142857144,-0.007407407407407418,788.0605091230761,3.6845983787767005,1,SHSE.605001,2024-12-27,2024-12-27T09:30:00.000000,7.78,2024-12-30T11:30:00.000000,7.07,-9.850059914583305,1.5,止损卖出
SZSE.002616,长青集团,2024-12-27,5.36,5.58,5.33,5.45,5.55,39023769.0,213102465.15,6.11,5.0,false,false,4.73549984,8.2989,40.4369620815,25.6273446315,false,false,false,,未涨停,未涨停,3天2板,11.45365,5.587999999999999,5.434285714285714,-3.4234234234234147,0.2891692954784493,546.083760259036,false,-0.018018018018017945,4.4,断板,5.335714285714286,0.022099447513812098,550.7901875254521,4.0160642570280976,1,SZSE.002616,2024-12-27,2024-12-27T09:30:00.000000,5.36,2024-12-30T11:30:00.000000,5.12,-5.238746506511272,1.5,未涨停卖出
SZSE.000785,居然智家,2025-01-07,3.9,4.1,3.73,4.03,4.0,324297577.0,1269604173.53,4.4,3.6,false,false,5.22236518,5.4754,251.94915711810003,238.6861740744,false,false,true,断板,断板,断板,2天1板,8.306,3.912,3.882857142857143,-2.500000000000002,3.7895511405445204,391.4935736723065,false,0.007500000000000062,2.8,断板,3.87,-0.04076738609112707,411.9073110303914,3.3591731266149845,1,SZSE.000785,2025-01-07,2025-01-07T09:30:00.000000,3.9,2025-01-08T11:30:00.000000,4.12,4.799264480539373,1.5,未涨停卖出
SZSE.002117,东港股份,2025-01-07,12.31,13.71,11.97,13.0,12.73,103232205.0,1316855465.04,14.0,11.46,false,false,6.57240437,19.7176,68.08372415,68.0621084,false,false,true,断板,断板,断板,5天4板,18.757633333333334,12.88,12.595714285714285,-3.299293008641005,3.2097085176363884,1275.6246609669918,false,0.02120974076983506,8.66,断板,12.20857142857143,-0.09971711456859977,1296.8250942176953,4.271003978469451,1,SZSE.002117,2025-01-07,2025-01-07T09:30:00.000000,12.31,2025-01-08T11:30:00.000000,11.74,-5.390299079878713,1.5,未涨停卖出
SZSE.002269,美邦服饰,2025-01-07,2.31,2.66,2.25,2.66,2.42,450532186.0,1120494970.45,2.66,2.18,false,false,4.48725868,17.9316,66.8325,66.8325,true,false,false,,涨停,4天3板,2天2板,15.800699999999999,2.364,2.282857142857143,-4.5454545454545405,16.520650813516898,248.70475523584457,false,0.09917355371900838,1.68,断板,2.1928571428571426,-0.016260162601625994,244.89121932466168,10.35830618892509,1,SZSE.002269,2025-01-07,2025-01-07T09:30:00.000000,2.31,2025-01-08T11:30:00.000000,2.74,17.669581414601353,1.5,未涨停卖出
SZSE.003015,日久光电,2025-01-07,15.2,15.8,15.15,15.8,15.9,53594818.0,829928443.02,17.49,14.31,false,false,1.06656186,21.5877,44.408533386,39.089467336,false,false,true,断板,断板,断板,4天2板,18.2268,15.036000000000001,14.844285714285714,-4.402515723270447,6.438263882205759,1548.5236707399586,false,-0.0062893081761006275,13.06,断板,14.558571428571428,0.04057591623036649,1543.2695679367591,9.214012363850465,1,SZSE.003015,2025-01-07,2025-01-07T09:30:00.000000,15.2,2025-01-08T11:30:00.000000,15.19,-0.8620780037743803,1.5,未涨停卖出
SHSE.600186,莲花控股,2025-01-06,5.41,5.8,5.08,5.08,5.64,303686986.0,1623992144.9,6.2,5.08,false,false,4.36111326,16.997,91.1642647628,90.7648904028,false,false,true,断板,断板,断板,3天2板,21.533250000000002,5.574,5.364285714285714,-4.078014184397155,-5.2996005326231606,534.7585572534215,true,-0.09929078014184389,4.63,断板,5.315714285714286,-0.1004784688995215,606.77651234355,6.100510615425953,1,SHSE.600186,2025-01-06,2025-01-06T09:30:00.000000,5.41,2025-01-07T11:30:00.000000,4.89,-10.332054407140404,1.5,止损卖出
SZSE.002364,中恒电气,2025-01-06,11.0,12.69,10.51,12.69,11.54,138528196.0,1681717948.06,12.69,10.39,false,false,6.68020566,24.8212,71.516393424,70.8234528015,true,false,false,,涨停,10天5板,8天4板,28.322450000000003,11.677999999999999,11.47285714285714,-4.6793760831889015,10.608890549122169,1213.9896401018605,false,0.09965337954939346,6.93,断板,11.117142857142856,-0.02780117944397642,1109.3853536528516,3.803649447442823,1,SZSE.002364,2025-01-06,2025-01-06T09:30:00.000000,11.0,2025-01-08T11:30:00.000000,14.42,30.046360014487504,2.5,未涨停卖出
SHSE.600255,鑫科材料,2025-01-09,3.88,4.03,3.75,3.82,4.0,482496203.0,1867610892.85,4.4,3.6,false,false,10.45974009,26.7141,68.99481368100001,68.99481368100001,false,false,true,断板,断板,断板,4天2板,35.09575,3.7399999999999998,3.697142857142857,-3.0000000000000027,3.3230293663060255,387.0726611396774,false,-0.04500000000000004,2.22,断板,3.6942857142857144,0.04712041884816753,388.7728895830269,8.2753286929621,1,SHSE.600255,2025-01-09,2025-01-09T09:30:00.000000,3.88,2025-01-10T11:30:00.000000,3.53,-9.745553867006212,1.5,止损卖出
SHSE.600789,鲁抗医药,2025-01-09,11.12,11.43,10.53,10.53,11.7,263307773.0,2849717343.5,12.87,10.53,false,false,2.40220988,29.2997,94.6299122496,94.6299122496,false,false,false,,未涨停,未涨停,2天2板,9.765699999999999,11.202,10.73857142857143,-4.957264957264958,-1.9422642011440863,1082.2761937605237,true,-0.09999999999999998,8.28,断板,10.644285714285713,0.010362694300518172,1183.4469744772796,9.91813179439002,1,SHSE.600789,2025-01-09,2025-01-09T09:30:00.000000,11.12,2025-01-10T11:30:00.000000,9.83,-12.30509616211414,1.5,止损卖出
SHSE.600983,惠而浦,2025-01-09,10.15,10.25,9.9,9.9,10.54,24232775.0,243527453.58,11.59,9.49,false,false,2.09377929,3.1617,75.877461,75.877461,false,false,true,断板,断板,断板,2天2板,2.07325,9.74,9.56857142857143,-3.700189753320672,3.46372051358614,1004.9507478198432,false,-0.06072106261859567,8.49,断板,9.547142857142857,0.020329138431752103,1031.3081480512035,10.399521173125832,1,SHSE.600983,2025-01-09,2025-01-09T09:30:00.000000,10.15,2025-01-10T11:30:00.000000,9.57,-6.46556630620376,1.5,未涨停卖出
SHSE.605199,ST葫芦娃,2025-01-09,19.01,19.65,18.38,18.97,20.0,29023902.0,552949626.6,22.0,18.0,false,false,1.01776892,7.254,75.9006302544,75.9006302544,false,false,false,,未涨停,未涨停,2天2板,8.84305,19.052,18.155714285714286,-4.949999999999992,4.485010622393573,1905.1526104243324,false,-0.0515000000000001,14.15,断板,17.731428571428573,0.02249488752556239,1997.9116648938816,12.794070254592318,1,SHSE.605199,2025-01-09,2025-01-09T09:30:00.000000,19.01,2025-01-10T11:30:00.000000,17.83,-6.954611852432474,1.5,未涨停卖出
SHSE.605208,永茂泰,2025-01-09,7.96,8.33,7.81,7.84,8.28,46247644.0,368679609.98,9.11,7.45,false,false,1.7967959,14.017,25.867296,25.867296,false,false,false,,未涨停,未涨停,2天2板,6.62865,8.478,8.212857142857143,-3.864734299516901,-4.539919986084535,797.1857117305262,false,-0.05314009661835739,6.88,断板,8.224285714285715,-0.09999999999999998,837.2364427507854,0.6774361646690809,1,SHSE.605208,2025-01-09,2025-01-09T09:30:00.000000,7.96,2025-01-10T11:30:00.000000,7.57,-5.6572704158241445,1.5,未涨停卖出
SZSE.000981,山子高科,2025-01-09,2.46,2.57,2.41,2.43,2.54,782836876.0,1933938631.45,2.79,2.29,false,false,6.77064435,11.9972,242.93854257840002,158.5601329536,false,false,true,断板,断板,断板,4天3板,7.575833333333332,2.424,2.3314285714285714,-3.1496062992126013,4.227941176470596,247.0423520838331,false,-0.04330708661417315,1.64,断板,2.2800000000000002,0.024193548387096753,244.03602296738998,11.403508771929815,1,SZSE.000981,2025-01-09,2025-01-09T09:30:00.000000,2.46,2025-01-10T11:30:00.000000,2.28,-8.055582547857357,1.5,未涨停卖出
SZSE.002213,大为股份,2025-01-09,14.24,15.78,14.0,15.02,14.75,47654166.0,719324879.28,16.23,13.28,false,false,2.0996759,23.1337,35.624577188,30.9443247608,false,false,true,断板,断板,断板,3天2板,21.1553,14.874,14.412857142857144,-3.457627118644066,4.212508672811965,1509.4690342078381,false,0.018305084745762645,11.0,断板,14.151428571428571,-0.07232704402515722,1492.655126553525,4.229759741570766,1,SZSE.002213,2025-01-09,2025-01-09T09:30:00.000000,14.24,2025-01-10T11:30:00.000000,14.64,1.9897936344509597,1.5,未涨停卖出
SZSE.002245,蔚蓝锂芯,2025-01-09,12.02,13.63,12.02,12.71,12.48,225463728.0,2908727001.96,13.73,11.23,false,false,13.93070616,20.7368,146.4251148527,138.1909051292,false,false,true,断板,断板,断板,4天2板,17.16085,12.560000000000002,12.178571428571429,-3.685897435897443,4.363636363636368,1290.1086253483754,false,0.018429487179487225,9.94,断板,11.947142857142856,-0.08235294117647052,1265.8973125998243,4.460121965801762,1,SZSE.002245,2025-01-09,2025-01-09T09:30:00.000000,12.02,2025-01-10T11:30:00.000000,11.76,-2.9426387627526376,1.5,未涨停卖出
SZSE.002269,美邦服饰,2025-01-09,2.52,2.71,2.36,2.43,2.62,514455105.0,1254639661.15,2.88,2.36,false,false,4.48725868,20.4758,61.05375,61.05375,false,false,true,断板,断板,断板,4天3板,16.511,2.518,2.41,-3.8167938931297747,0.8298755186721999,243.87738579248818,true,-0.0725190839694656,1.69,炸板,2.3528571428571428,-0.015037593984962405,275.6799848830664,11.353976927747429,1,SZSE.002269,2025-01-09,2025-01-09T09:30:00.000000,2.52,2025-01-10T11:30:00.000000,2.28,-10.244735344336954,1.5,止损卖出
SZSE.002793,罗欣药业,2025-01-09,4.16,4.19,4.01,4.04,4.27,55182209.0,225140648.02,4.7,3.84,false,false,3.58884421,5.0815,43.938574834399994,43.871933337600005,false,false,false,,未涨停,未涨停,2天2板,9.4512,4.265999999999999,4.134285714285714,-2.576112412177973,-2.280580511402903,407.99498987073895,false,-0.05386416861826693,3.77,断板,4.122857142857143,0.0023474178403755097,425.47419625747585,3.5689535689535603,1,SZSE.002793,2025-01-09,2025-01-09T09:30:00.000000,4.16,2025-01-10T11:30:00.000000,3.83,-8.666296353049354,1.5,未涨停卖出
SHSE.600191,华资实业,2025-01-08,7.54,7.6,7.08,7.34,7.87,50484821.0,365975753.48,8.66,7.08,false,false,1.93530672,10.4107,35.5940088,35.5940088,false,false,true,断板,断板,断板,4天3板,8.055566666666666,7.442,7.202857142857143,-4.193138500635325,1.9040063466878205,724.9223553352799,true,-0.06734434561626435,5.85,断板,7.054285714285714,0.04376657824933683,773.9530443900311,11.563385986229244,1,SHSE.600191,2025-01-08,2025-01-08T09:30:00.000000,7.54,2025-01-09T11:30:00.000000,7.41,-2.5072125291935716,1.5,未涨停卖出
SHSE.600618,氯碱化工,2025-01-08,11.42,11.61,11.08,11.48,11.76,49536306.0,562532724.42,12.94,10.58,false,false,19.45317892,6.6063,86.0816292448,86.0816292448,false,false,true,断板,断板,断板,2天2板,7.5671,11.202,10.842857142857143,-2.8911564625850326,5.8761528326745704,1135.5968376406588,false,-0.023809523809523725,9.1,断板,10.642857142857142,-0.018363939899833093,1161.0126799786194,10.496644295302017,1,SHSE.600618,2025-01-08,2025-01-08T09:30:00.000000,11.42,2025-01-09T11:30:00.000000,11.24,-2.3604356653944487,1.5,未涨停卖出
SHSE.600824,益民集团,2025-01-08,4.85,5.52,4.81,5.52,5.02,169373249.0,896076125.86,5.52,4.52,false,false,20.48487284,16.0692,58.1822944296,58.1822944296,true,false,false,,涨停,5天3板,2天2板,21.40665,5.29,5.072857142857143,-3.3864541832669315,8.81441847366938,529.0541045593334,false,0.09960159362549792,3.6,断板,4.95,-0.10035842293906816,502.0,1.414141414141402,1,SHSE.600824,2025-01-08,2025-01-08T09:30:00.000000,4.85,2025-01-09T11:30:00.000000,5.28,7.998521378403913,1.5,未涨停卖出
SHSE.601011,宝泰隆,2025-01-08,2.95,3.09,2.86,2.96,3.04,156292679.0,461146646.93,3.34,2.74,false,false,2.63761089,8.1587,56.703670354399996,56.703670354399996,false,false,false,,未涨停,未涨停,4天3板,11.9525,2.972,2.9442857142857144,-2.960526315789469,0.5337214944201795,295.05326153504603,false,-0.02631578947368418,2.38,断板,2.8771428571428572,-0.02875399361022357,289.3173857342786,5.660377358490564,1,SHSE.601011,2025-01-08,2025-01-08T09:30:00.000000,2.95,2025-01-09T11:30:00.000000,3.1,4.247417111216131,1.5,未涨停卖出
SHSE.605199,ST葫芦娃,2025-01-08,18.87,20.98,18.61,20.0,19.56,41837183.0,835869959.42,21.52,17.6,false,false,1.01776892,10.4565,80.0217504,80.0217504,false,false,true,断板,断板,断板,2天2板,8.84305,18.438,17.731428571428573,-3.5276073619631787,12.794070254592318,1997.9116648938816,false,0.02249488752556239,12.82,断板,17.231428571428573,0.016632016632016633,1851.5602156920186,13.513513513513495,1,SHSE.605199,2025-01-08,2025-01-08T09:30:00.000000,18.87,2025-01-09T11:30:00.000000,19.21,0.9906320663292827,1.5,未涨停卖出
SZSE.002552,宝鼎科技,2025-01-08,14.7,15.35,13.8,14.39,15.32,37687003.0,545983260.95,16.85,13.79,false,false,3.16956819,11.7686,58.789199412100004,46.0816432444,false,false,true,断板,断板,断板,2天2板,9.3768,14.656,14.285714285714286,-4.046997389033949,0.7299999999999986,1448.730908504452,true,-0.060704960835509136,11.57,断板,14.177142857142858,-0.0382925298179535,1542.9759161712536,8.061265618702132,1,SZSE.002552,2025-01-08,2025-01-08T09:30:00.000000,14.7,2025-01-10T11:30:00.000000,16.02,8.11122855516709,2.5,未涨停卖出
SHSE.603015,弘讯科技,2025-01-16,13.5,14.6,12.71,12.84,14.07,102685625.0,1378480800.06,15.48,12.66,false,false,2.22973619,25.4035,51.9017196,51.9017196,false,false,true,断板,断板,断板,6天5板,16.296766666666667,13.544,12.944285714285716,-4.051172707889128,-0.8056505904425683,1342.4282123812363,true,-0.08742004264392322,8.75,炸板,12.525714285714287,-0.027643400138216978,1542.6289302409796,12.328923357664227,1,SHSE.603015,2025-01-16,2025-01-16T09:30:00.000000,13.5,2025-01-17T11:30:00.000000,12.16,-10.643647631695439,1.5,止损卖出
SHSE.603106,恒银科技,2025-01-16,8.7,9.82,8.58,9.48,8.93,85293572.0,779952233.14,9.82,8.04,false,false,1.88391277,16.3862,49.345296,49.345296,false,true,false,,炸板,4天2板,2天2板,6.1337,8.568,8.40857142857143,-2.575587905935055,12.742099898063197,914.4326059412778,false,0.06159014557670783,6.8,炸板,8.147142857142857,0.0,936.9305775393981,9.608977731018763,1,SHSE.603106,2025-01-16,2025-01-16T09:30:00.000000,8.7,2025-01-17T11:30:00.000000,9.21,5.018546503640615,1.5,未涨停卖出
SHSE.603158,腾龙股份,2025-01-16,8.88,9.33,8.73,9.01,9.14,79032751.0,710623504.73,10.05,8.23,false,false,4.31135391,16.1029,44.2210174706,44.2210174706,false,false,true,断板,断板,断板,2天2板,5.0298,8.86,8.517142857142858,-2.84463894967177,5.786648775578654,899.1506631598842,false,-0.01422319474835898,7.32,断板,8.334285714285715,-0.043933054393305415,958.8694478502082,9.667466575248547,1,SHSE.603158,2025-01-16,2025-01-16T09:30:00.000000,8.88,2025-01-17T11:30:00.000000,8.72,-2.5842575643372636,1.5,未涨停卖出
