trading_date,factor_group,mean,count
2021-04-02,G1,-0.005629132650841493,805
2021-04-02,G2,-0.005668272089404748,805
2021-04-02,G3,-0.0005948146022385773,805
2021-04-02,G4,0.0005741950550393472,805
2021-04-02,G5,0.0003052275869713375,805
2021-04-06,G1,-0.01925798542966551,813
2021-04-06,G2,-0.020234031114548336,813
2021-04-06,G3,-0.020196357678257008,813
2021-04-06,G4,-0.01919048904033582,813
2021-04-06,G5,-0.020587821020611373,813
2021-04-07,G1,-0.014021141591602677,814
2021-04-07,G2,-0.014739924199657736,814
2021-04-07,G3,-0.011319021954723512,814
2021-04-07,G4,-0.013282713424815622,814
2021-04-07,G5,-0.02024645636028796,814
2021-04-08,G1,-0.012649934994974108,816
2021-04-08,G2,-0.012824161989584882,816
2021-04-08,G3,-0.008030210468308697,816
2021-04-08,G4,-0.009455782011070293,816
2021-04-08,G5,-0.012757253627745548,816
2021-04-09,G1,0.004457201251581508,817
2021-04-09,G2,0.0026872579316454016,816
2021-04-09,G3,0.007307790633205186,816
2021-04-09,G4,0.003865664440917336,816
2021-04-09,G5,0.0007097892858282832,817
2021-04-12,G1,0.037484214307365246,820
2021-04-12,G2,0.03750590806880593,819
2021-04-12,G3,0.035457134231195064,819
2021-04-12,G4,0.03067922413826701,819
2021-04-12,G5,0.009865389669073943,820
2021-04-13,G1,0.04080200571910379,820
2021-04-13,G2,0.040641256532774624,819
2021-04-13,G3,0.036417183558676715,819
2021-04-13,G4,0.03276434197297935,819
2021-04-13,G5,0.01750958477461968,820
2021-04-14,G1,0.026406451180557605,820
2021-04-14,G2,0.026734535759049907,819
2021-04-14,G3,0.021196909953678733,820
2021-04-14,G4,0.01981512024161695,819
2021-04-14,G5,0.0010175571986299153,820
2021-04-15,G1,0.031388557363080175,820
2021-04-15,G2,0.03074531046206361,819
2021-04-15,G3,0.025841503066828125,819
2021-04-15,G4,0.027146515219967325,819
2021-04-15,G5,0.014075555447541861,819
2021-04-16,G1,0.010817140334817784,821
2021-04-16,G2,0.006005276695613892,820
2021-04-16,G3,0.006441745372026419,820
2021-04-16,G4,-0.0006597209951506604,820
2021-04-16,G5,-0.014041682138506258,820
2021-04-19,G1,-0.009438500675526902,825
2021-04-19,G2,-0.010412230583767801,825
2021-04-19,G3,-0.012583298960125389,825
