trading_date,sentiment_factor,limit_spread_rank,limit_up_premium_rank,equal_weight_return,nav,future_return_1d,future_return_5d,future_return_10d,future_return_20d
2021-01-04,,,,1.4744263720393165,1.0147442637203932,-0.056806213084426016,-5.880458172162461,-3.395988913864445,-6.305956423912329
2021-01-05,,,,-0.05680621308442236,1.0141678259316822,-1.203867715216711,-5.08461968432149,-2.920865930479488,-6.0437480560510455
2021-01-06,,,,-1.203867715216717,1.0019585868971754,-2.394722375688463,-5.35122588729987,-1.2852084755292204,-6.160510129619956
2021-01-07,,,,-2.394722375688464,0.9779644604216169,-0.0930993638621258,-2.6103043244042334,1.9173161538503791,-5.589693280755281
2021-01-08,,,,-0.09309936386213015,0.9770539817301667,-2.249755940131848,-1.1949793110860751,1.1800554704690214,-6.676133523489625
2021-01-11,,,,-2.2497559401318483,0.9550726517378975,0.7882748260781725,2.6396954448020926,2.0775195995040185,-4.285830714667438
2021-01-12,,,,0.7882748260781747,0.9626012490223046,-1.4813744966234,2.2796661053725797,0.4795869279776488,-3.1644943499073763
2021-01-13,,,,-1.4813744966234077,0.9483415196151098,0.43181618860757,4.295900765633975,2.244573992157428,-0.8033830541745446
2021-01-14,,,,0.43181618860756577,0.9524366118200949,1.3588071699093929,4.64897281673009,0.5603817527992883,1.3252236611592583
2021-01-15,,,,1.3588071699093829,0.9653783887903484,1.5439823807016806,2.4037592067642555,-2.175335964686309,2.625192730559278
2021-01-18,,,,1.5439823807016735,0.9802836610203732,0.4347397161909239,-0.5477177644202968,-3.0122636496462407,1.9325624362194205
2021-01-19,,,,0.4347397161909273,0.9845453434261592,0.4607189319626448,-1.7599580111460456,-3.2168417605941912,0.9346185444278232
2021-01-20,,,,0.4607189319626407,0.9890813302170801,0.7718071861128717,-1.966833555698544,-4.93877521169882,0.4222796437439502
2021-01-21,,,,0.7718071861128692,0.9967151310001963,-0.8158168825055934,-3.9069576641627357,-7.365784066834513,-0.8197939618230121
2021-01-22,,,,-0.8158168825055904,0.988583760691009,-1.3827141378692342,-4.471608471135202,-7.764562845344159,-0.3331179657800276
2021-01-25,,,,-1.3827141378692354,0.974914473267255,-0.7894758665645485,-2.478118983119959,-6.233841044666589,3.297907757909213
2021-01-26,,,,-0.7894758665645478,0.9672177587811651,0.24916704828630287,-1.482983638803248,-3.6266881555723884,3.575500496790296
2021-01-27,,,,0.2491670482863123,0.9696277467212211,-1.2225159564162813,-3.031567543713709,-2.981045279298411,4.874537627559472
2021-01-28,,,,-1.2225159564162782,0.9577738927997145,-1.3986314929585242,-3.599455609474267,0.760579758179647,5.250394830098015
2021-01-29,,,,-1.3986314929585197,0.9443781655036828,0.6752344945365474,-3.4470949646566162,4.907278489106437,7.616452747692759
2021-02-01,,,,0.6752344945365424,0.9507549326360352,0.2228907742745312,-3.8511583476292244,5.098403439382504,5.644526160020225
2021-02-02,,,,0.22289077427453766,0.952874077666841,-1.3266444440398373,-2.1759738529936734,4.289444961852595,2.830127999132781
2021-02-03,,,,-1.3266444440398375,0.940232826656778,-1.8009985917779803,0.05210176460064275,5.639581088274093,3.047702424022436
2021-02-04,,,,-1.8009985917779763,0.9232992466892551,-1.2427924551126845,4.522832723839287,7.066492698264271,7.15818074978074
2021-02-05,,,,-1.24279245511268,0.9118245533132888,0.25391961212537506,8.652638106232956,8.057038713985222,8.63224070177906
2021-02-08,,,,0.2539196121253675,0.9141398546823258,1.9690567160300931,9.308028711743788,10.165446584109672,8.053226894483888
2021-02-09,,,,1.9690567160300962,0.9321397868848559,0.9207758092429685,6.609234018982502,7.4732190007011035,7.354759538653388
2021-02-10,,,,0.9207758092429642,0.9407227045508206,2.586928378461706,5.584569664332983,8.096956857010618,7.0745264073807546
2021-02-18,,,,2.5869283784616988,0.9650585271574783,2.65920710460672,2.4335926496994453,4.455924214304541,4.614194591542531
2021-02-19,,,,2.6592071046067165,0.990721432075263,0.858649310590498,-0.5481683672194038,2.582446420881701,1.699463999180728
