trading_date,G1,G2,G3,G4,G5
2021-04-02,0.9943708673491585,0.9943317279105952,0.9994051853977615,1.0005741950550393,1.0003052275869713
2021-04-12,1.031644078041875,1.0316250422875068,1.0348412292077624,1.0312710350520988,1.0101736284451284
2021-04-19,1.0219069047143734,1.02088352447122,1.0218195126443776,1.0132960815003715,0.9832012074894081
2021-04-26,1.008677322719426,1.0045659443134953,1.0087638179173408,0.9994503155081381,0.9747983182523854
2021-05-06,1.0194107499051392,1.0107835057356416,1.0089779479794665,1.0035113567396967,1.0055257527746515
2021-05-13,1.020402318669848,1.0112106504064646,1.0162626549652654,1.0137394542614475,1.0024042721876836
2021-05-20,1.0457437536486123,1.0419751491429634,1.048930002257323,1.0410286682943326,1.0315519120594723
2021-05-27,1.0512243803643637,1.0440769045059357,1.0546528476601664,1.0521589201120174,1.0376211051516455
2021-06-03,1.0608352532254939,1.0544642063258627,1.0689079475941206,1.0672935155090701,1.0546098456688167
2021-06-10,1.0433095397558214,1.0354915921875973,1.0557799893029314,1.059657088952723,1.0455067708819563
2021-06-18,1.0614579695851736,1.0555135812688623,1.0814017729637988,1.0839540547954583,1.0495881399613818
2021-06-25,1.0460608905566717,1.0347191585142395,1.0631575153321773,1.0708485932596834,1.0364498479988933
2021-07-02,1.0641714008454173,1.050851131107962,1.084504831289194,1.102642876699384,1.0691020784760796
2021-07-09,1.0595807469164675,1.0547739684785793,1.088017818324049,1.1059466059005205,1.069645368284408
2021-07-16,1.0502814209912448,1.0518426443496498,1.0968108007232262,1.125917289910775,1.1040717206911406
2021-07-23,1.009347510006837,1.0212757178043201,1.0692162011116348,1.108714603929237,1.0967285162960272
2021-07-30,1.0209304668400285,1.0417528569682586,1.0938967550047307,1.1448633980915839,1.120558808672774
2021-08-06,1.0566653796724323,1.0761696760849433,1.1259655281088505,1.1789948199138247,1.1541827922040002
2021-08-13,1.0401663397131218,1.0540538912781676,1.1003975162886581,1.1497365094430487,1.1246525432595298
2021-08-20,1.0637665610721976,1.0827914264347058,1.1366740437675436,1.1878960035990522,1.1692240942164762
2021-08-27,1.0749813345189616,1.0871626915531907,1.145370004515185,1.199689474842528,1.185636578697872
2021-09-03,1.098957738766111,1.1153204040754092,1.1776073397222224,1.2324938011571518,1.2223846397605806
2021-09-10,1.0620109034269507,1.0954393694172455,1.1539527752465715,1.2216792505620384,1.220481996448204
2021-09-17,1.0347616308297503,1.0692785228521278,1.1117591271544758,1.1805738834118202,1.1911468476145
2021-09-28,1.0315113670494453,1.0590932700357256,1.1062061882092014,1.168710407044271,1.157741375758587
2021-10-12,1.057345646408701,1.0811613295105407,1.1270921810304029,1.1781206847525385,1.151114061720781
2021-10-19,1.0446538317494245,1.0710570795898633,1.1132834568341954,1.1640949993441199,1.1315557803614622
2021-10-26,1.0250565422062223,1.0483378939235675,1.0894500305797366,1.1415915758873294,1.1195552386979502
2021-11-02,1.067239169108081,1.087880928721843,1.1250832186579038,1.1716832868330629,1.151535581452463
2021-11-09,1.0961467085124823,1.1156751391433561,1.1521432050573392,1.1987997674406505,1.1920554214637875
2021-11-16,1.134379246276538,1.1580401112475498,1.1870383456454743,1.235122236075485,1.2227025721181166
2021-11-23,1.1418375369883673,1.1683069897655358,1.2000009861685494,1.252735428679354,1.232732628963643
2021-11-30,1.157530226723802,1.1649487053936336,1.1786608996544978,1.2120310481395102,1.1771419143885467
2021-12-07,1.1862034556528809,1.1942741618222805,1.217880124507836,1.2542016899056059,1.2189714778780754
2021-12-14,1.1930437211773008,1.196472953983529,1.2305423631866625,1.2700054525687645,1.2366108186624334
2021-12-21,1.19130908185882,1.1960021133711363,1.2282080036306018,1.2646516469688271,1.2074138777011696
2021-12-28,1.1842213438363247,1.2007055479269029,1.236676095511231,1.2944861574736026,1.2505038976503426
2022-01-05,1.1950629485668112,1.2056937086503237,1.2457360160066608,1.3090282904432882,1.2753943121354552
2022-01-12,1.1741725586601088,1.1839781543635164,1.2392893486159346,1.3029646549053406,1.2667858262727512
2022-01-19,1.0966049803942222,1.110435961255849,1.1591199159137946,1.212207699858928,1.1555606589043503
2022-01-26,1.1201268892067817,1.12617254640923,1.1783859973852868,1.2417845499462248,1.1923222367835327
2022-02-09,1.1090401561059187,1.113941572319151,1.168754921595948,1.2342456855025012,1.196286222192995
2022-02-16,1.1352871427861222,1.1408496319197494,1.1981798905708176,1.2683074814267201,1.2203343754529412
2022-02-23,1.1354116487374268,1.1416583825690731,1.2009167841601267,1.269855059160233,1.2093893871300692
2022-03-02,1.0448329878732108,1.0502939390644632,1.1114125499074028,1.176812368040522,1.1406000009896897
2022-03-09,1.0199934557843384,1.024858580201216,1.0884524428767797,1.1589350272361358,1.1071302818700421
2022-03-16,1.0839926412803378,1.0794640092284062,1.1440018593924415,1.203389093724426,1.1451997416779638
2022-03-23,1.0669066628993298,1.0660269433046285,1.1310891913107068,1.1920359310920292,1.1270316546870776
2022-03-30,1.0496363088286607,1.0424332451797003,1.0964999485830462,1.1611207779869799,1.102441282965768
2022-04-08,1.007410452519646,0.9991342116000208,1.0547857801119191,1.1220160709587645,1.052920043999806
2022-04-15,0.9683553224723772,0.9568124634463864,1.005405849641951,1.0691560901428854,0.9925030851461202
2022-04-22,0.9029966069829448,0.9056371848619378,0.9557544393547669,1.0176056533105895,0.9262678709903274
2022-04-29,0.944282326902008,0.9421419269987278,0.991535266702491,1.0537564039301313,0.964570372792424
2022-05-11,0.9706806513006992,0.9621970225375426,1.014107943505961,1.0783010880837136,0.9774633996206206
