trading_date,ic,rank_ic,sample_size
2021-04-02,0.01194294467679181,0.010172875905562252,4025
2021-04-06,-0.0481374493098627,-0.0307003289445435,4065
2021-04-07,-0.09881842930122534,-0.0419022131944426,4070
2021-04-08,-0.049888726805816026,0.006510080915217141,4080
2021-04-09,-0.06720421081785843,-0.02973106287669811,4082
2021-04-12,-0.20852734768055628,-0.20178673415262144,4097
2021-04-13,-0.1590502800009836,-0.18160944586641126,4097
2021-04-14,-0.1732118728530767,-0.20085871013761533,4098
2021-04-15,-0.1197522214369655,-0.1518319493509727,4096
2021-04-16,-0.16174264833082946,-0.18418256965558985,4101
2021-04-19,-0.13096401525603163,-0.13915045412411584,4125
2021-04-20,-0.06618043228862278,-0.0773592223624521,4126
2021-04-21,-0.03785390199826359,-0.05627980454767332,4132
2021-04-22,-0.0661395645410766,-0.08150257127915615,4134
2021-04-23,-0.009784831152557037,-0.0165312373186267,4129
2021-04-26,0.030193238392610365,0.005186312835569249,4134
2021-04-27,-0.015716034148769036,-0.08635720509882991,4122
2021-04-28,0.011260335454871305,-0.0676267732307955,4135
2021-04-29,0.057707156330373564,-0.019126705664213213,4120
2021-04-30,0.06463696784732122,-0.0480022996815896,4112
2021-05-06,0.1476506833236496,0.04489908670498083,4141
2021-05-07,0.2139795562776074,0.13959270440922322,4139
2021-05-10,0.09781844215605247,0.08886956706764525,4139
2021-05-11,0.1280809133622803,0.11011626596106766,4141
2021-05-12,0.029970672728966016,0.028544171173371206,4145
2021-05-13,-0.03657091373174404,-0.0438085460289831,4152
2021-05-14,0.0015663973247485702,-0.03407380036038223,4155
2021-05-17,0.039614236318650915,-0.004335563381150042,4161
2021-05-18,0.007371614873814424,-0.03529476990063448,4154
2021-05-19,-0.0024661262183325707,-0.06867810164926383,4154
2021-05-20,0.0026601781020993086,-0.061490456176351384,4166
2021-05-21,0.016550748270395568,-0.009829571718679552,4166
2021-05-24,0.062416020614709154,0.03736639983863652,4165
2021-05-25,0.04551317184728554,0.012571536886934926,4169
2021-05-26,0.008958961065901286,-0.056157252910692484,4175
2021-05-27,0.01569271609074598,-0.053285600162788244,4179
2021-05-28,0.006854402631092524,-0.03757008703266926,4178
2021-05-31,-0.01849916286406317,-0.05507477356544415,4182
2021-06-01,-0.04591993033853459,-0.07468967416559442,4181
2021-06-02,-0.04753600924171419,-0.05580704300211344,4179
2021-06-03,0.0218496458079696,0.015436060055406575,4181
2021-06-04,-0.04223246253226199,-0.15945442337436042,4184
2021-06-07,-0.06171509983595407,-0.13805124052018367,4181
2021-06-08,-0.05725927860012701,-0.11631448781478529,4185
2021-06-09,0.05455656999416779,0.02718313166517726,4185
2021-06-10,0.042458094133618986,0.0493142638731678,4184
2021-06-11,0.1442558763814034,0.18098059737963734,4188
2021-06-15,0.07245008836531364,0.06643708077166527,4184
2021-06-16,0.08789858977074581,0.08342373396153088,4184
2021-06-17,-0.027836090923871893,-0.048380786827034124,4187
2021-06-18,-0.08732803323698177,-0.1135029525030906,4188
2021-06-21,-0.11285601352906857,-0.13213112856699735,4184
2021-06-22,-0.0967918816957519,-0.1128512024015874,4192
2021-06-23,-0.04825786300681779,-0.05482330850492768,4192
2021-06-24,-0.10124431602517216,-0.12231610650857104,4197
2021-06-25,-0.00027928819000492557,-0.03423976732111377,4203
2021-06-28,0.040757517028358496,0.030653227578351566,4206
2021-06-29,0.05948968875479459,0.03973289256882198,4211
2021-06-30,0.008487018713383703,-0.027472704260028496,4210
2021-07-01,0.1468034896309259,0.1863240318406055,4212
2021-07-02,0.05960940365787476,0.08191805152840043,4217
2021-07-05,0.06477081947048698,0.08564352669615788,4218
2021-07-06,0.09701039317596027,0.10285037298856442,4222
2021-07-07,0.026948296685681133,-0.00019865693052535202,4227
2021-07-08,0.03370891128929193,-0.04498829691323327,4234
2021-07-09,0.032870442697179494,-0.04088754994612617,4235
2021-07-12,0.023930580637701742,-0.02533906884295886,4234
2021-07-13,0.05801722776690586,0.026039903899568607,4238
2021-07-14,0.17934181428532675,0.18605838982506476,4237
2021-07-15,0.1863426221316635,0.19542786277002092,4240
2021-07-16,0.19326246694796453,0.17780298353884952,4246
2021-07-19,0.19943511783133352,0.20093538915083312,4248
2021-07-20,0.13301498812125162,0.1440379948159091,4249
2021-07-21,0.0471864002689783,0.03381850199944955,4248
2021-07-22,0.11545384012869231,0.13501397968907833,4253
2021-07-23,0.10368569444841279,0.11936483338222345,4257
2021-07-26,0.037758628728209474,0.0445026247540284,4261
2021-07-27,0.02499332570089125,0.03426314761492392,4264
2021-07-28,0.11266738482382624,0.14423872908955884,4268
2021-07-29,-0.0007109649770281134,-0.0018861682315188426,4270
2021-07-30,0.019670556298825248,0.06025058790433268,4272
2021-08-02,-0.03896567085091124,-0.01186880729127132,4272
2021-08-03,0.07438387523803236,0.09528883788718581,4276
2021-08-04,0.023521330677962384,0.008015154075041012,4283
2021-08-05,0.025016802197345388,-0.02673631691914292,4287
2021-08-06,-0.01961747627115045,-0.06978792905950848,4288
2021-08-09,-0.007447542027213973,-0.09458280778525328,4289
2021-08-10,-0.04257557145328437,-0.11279600230467696,4294
2021-08-11,-0.0887495591707263,-0.1622898487711849,4292
2021-08-12,-0.06340383267949237,-0.12437089989065997,4295
2021-08-13,-0.0460490069939435,-0.08102127671335822,4299
2021-08-16,0.05832177960405905,0.06075702289563834,4299
2021-08-17,0.055042220153778416,0.07907158829757169,4304
2021-08-18,0.03462588567720439,0.054318986853384,4304
2021-08-19,0.0794027492002086,0.08239885863868592,4305
