buy_delay_days,extend_holding_days,trade_count,win_rate,avg_profit,profit_loss_ratio,avg_holding_days,stop_loss_ratio,sharpe_ratio
0,0,1161,0.4280792420327304,0.42786652101238515,1.4744218211534692,1.5999138673557278,0.08440999138673558,0.462527992318957
0,1,1161,0.4125753660637382,0.21190698243711634,1.4881984489758762,2.468561584840655,0.14470284237726097,0.16705666307095213
0,2,1161,0.3979328165374677,-0.09319632289927421,1.4855221829524279,3.248492678725237,0.19035314384151594,-0.06062866231705485
1,0,1158,0.3765112262521589,-0.8875144857667181,1.346412792677159,1.432642487046632,0.13644214162348878,-1.0461884506990737
1,1,1158,0.3601036269430052,-1.2588611190074135,1.3513835528741522,2.253454231433506,0.18998272884283246,-1.1081197582748674
1,2,1158,0.35233160621761656,-1.5577432741283033,1.3303598677894344,3.0323834196891193,0.22107081174438686,-1.11340051584852
2,0,1153,0.3746747614917606,-1.381382687952773,1.2085658666498056,1.2797051170858629,0.1795316565481353,-1.7082471642481052
2,1,1153,0.36947094535993064,-1.6213332404939311,1.191922025789691,2.075021682567216,0.21162185602775369,-1.5228050488354736
2,2,1153,0.35732870771899394,-1.9638542778745578,1.1792269620265297,2.8555941023417173,0.2445793581960104,-1.5248077952752481
3,0,1149,0.39338555265448216,-1.3064304246483351,1.1428934651150946,1.1583986074847694,0.19495213228894692,-1.6739093387373076
3,1,1149,0.3777197563098346,-1.55066066256286,1.1672473873316482,1.926892950391645,0.21845082680591818,-1.5006639794727252
3,2,1149,0.36205395996518713,-1.84647686184874,1.1912647864793073,2.6753698868581375,0.23933855526544823,-1.4584593896696718
4,0,1147,0.3679163034001744,-1.674076140650694,1.1613401687766869,1.037489102005231,0.1891891891891892,-2.3318917362909923
4,1,1147,0.3679163034001744,-1.673899382386207,1.1955744682447824,1.8461203138622493,0.22319093286835223,-1.5956002153829099
4,2,1147,0.3644289450741064,-1.547725876473746,1.2692625383234255,2.6155187445510024,0.25196163905841323,-1.1770283465427849
5,0,1144,0.36363636363636365,-1.3605363489180688,1.3058481457770965,0.8509615384615384,0.22552447552447552,-1.873202115701162
5,1,1144,0.3723776223776224,-1.3560082205119377,1.2746526619876415,1.603583916083916,0.24562937062937062,-1.2972172664953077
5,2,1144,0.3715034965034965,-1.151109768836184,1.3556449922025542,2.340909090909091,0.26835664335664333,-0.832035003665941
