20260331 21:56:27- INFO- 开始更新指数、ETF、板块数据
20260331 21:56:27- INFO- ==================================================
20260331 21:56:27- INFO- 开始更新指数日线数据
20260331 21:56:27- INFO- 开始获取数据: 20200101 至 20260331
20260331 21:56:35- INFO- 获取 20200322 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200323 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200324 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200325 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200326 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200327 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200328 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200329 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200330 数据失败: 必填参数, ts_code
20260331 21:56:36- INFO- 获取 20200331 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200401 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200402 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200403 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200404 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200405 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200406 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200407 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200408 数据失败: 必填参数, ts_code
20260331 21:56:37- INFO- 获取 20200409 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200410 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200411 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200412 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200413 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200414 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200415 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200416 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200417 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200418 数据失败: 必填参数, ts_code
20260331 21:56:38- INFO- 获取 20200419 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200420 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200421 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200422 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200423 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200424 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200425 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200426 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200427 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200428 数据失败: 必填参数, ts_code
20260331 21:56:39- INFO- 获取 20200429 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200430 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200501 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200502 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200503 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200504 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200505 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200506 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200507 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200508 数据失败: 必填参数, ts_code
20260331 21:56:40- INFO- 获取 20200509 数据失败: 必填参数, ts_code
20260331 21:56:41- INFO- 获取 20200510 数据失败: 必填参数, ts_code
20260331 21:56:41- INFO- 获取 20200511 数据失败: 必填参数, ts_code
20260331 21:56:41- INFO- 获取 20200512 数据失败: 必填参数, ts_code
20260331 21:56:41- INFO- 获取 20200513 数据失败: 必填参数, ts_code
20260331 21:56:41- INFO- 获取 20200514 数据失败: 必填参数, ts_code
20260331 21:56:41- INFO- 获取 20200515 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 17秒后可用
20260331 21:56:41- INFO- 获取 20200516 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 17秒后可用
20260331 21:56:41- INFO- 获取 20200517 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 17秒后可用
20260331 21:56:41- INFO- 获取 20200518 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 17秒后可用
20260331 21:56:41- INFO- 获取 20200519 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 17秒后可用
20260331 21:56:42- INFO- 获取 20200520 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 17秒后可用
20260331 21:56:42- INFO- 获取 20200521 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 17秒后可用
20260331 21:56:42- INFO- 获取 20200522 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:42- INFO- 获取 20200523 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:42- INFO- 获取 20200524 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:42- INFO- 获取 20200525 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:42- INFO- 获取 20200526 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:42- INFO- 获取 20200527 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:42- INFO- 获取 20200528 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:42- INFO- 获取 20200529 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:43- INFO- 获取 20200530 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:43- INFO- 获取 20200531 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
20260331 21:56:43- INFO- 获取 20200601 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 16秒后可用
