factor,operator,threshold,horizon,n_obs,trigger_count,trigger_rate,trigger_mean_return,not_trigger_mean_return,mean_diff,trigger_win_rate,hac_beta,hac_t,hac_pvalue,因子
limit_up_ratio,gt,0.08,1,435,109,0.25057471264367814,0.005219592439777152,0.00044322888774754826,0.004776363552029603,0.6422018348623854,0.004776363552029601,2.4985840550350606,0.012469056812565759,涨停占比
limit_up_ratio,gt,0.08,3,435,109,0.25057471264367814,0.005778183045454482,0.0008633436111367237,0.004914839434317759,0.6330275229357798,0.004914839434317757,2.171186539622095,0.029917074428610725,涨停占比
limit_up_ratio,gt,0.08,5,435,109,0.25057471264367814,0.004541783136944167,0.00035411326989496475,0.004187669867049202,0.5688073394495413,0.0041876698670491996,1.3498869232798996,0.17705225688456416,涨停占比
limit_up_ratio,gt,0.08,10,434,108,0.2488479262672811,0.006708036795874909,0.0020084469612865774,0.004699589834588331,0.6203703703703703,0.004699589834588335,1.0394959333639082,0.29857414838595053,涨停占比
limit_down_ratio,lt,0.01,1,435,224,0.5149425287356322,0.0023557412663894857,0.0008802945481998362,0.0014754467181896495,0.5848214285714286,0.0014754467181896493,0.9921492881365087,0.3211247061300996,跌停占比
limit_down_ratio,lt,0.01,3,435,224,0.5149425287356322,0.00020140042473169466,0.004105015516801948,-0.003903615092070253,0.5178571428571429,-0.003903615092070251,-2.015342643895697,0.043868759652004395,跌停占比
limit_down_ratio,lt,0.01,5,435,224,0.5149425287356322,-0.0017959529962401752,0.0047999467254524735,-0.006595899721692649,0.46875,-0.0065958997216926454,-2.5336036403240967,0.011289634954516748,跌停占比
limit_down_ratio,lt,0.01,10,434,224,0.5161290322580645,0.0010610380941779133,0.005435948334466961,-0.004374910240289048,0.5089285714285714,-0.004374910240289043,-1.1548150462336082,0.2481661742241592,跌停占比
net_limit_ratio,gt,0.04,1,435,255,0.5862068965517241,0.003206895324950082,-0.0005796117473381145,0.0037865070722881964,0.6431372549019608,0.003786507072288197,2.4621133050032413,0.013812102494734373,净涨停占比
net_limit_ratio,gt,0.04,3,435,255,0.5862068965517241,0.002605161428336276,0.0013719766942186672,0.001233184734117609,0.596078431372549,0.0012331847341176087,0.6152374905790127,0.5383978922057627,净涨停占比
net_limit_ratio,gt,0.04,5,435,255,0.5862068965517241,0.0010874658079756433,0.0018510639271049091,-0.0007635981191292658,0.5254901960784314,-0.0007635981191292653,-0.27916851684181077,0.7801155034225203,净涨停占比
net_limit_ratio,gt,0.04,10,434,254,0.5852534562211982,0.0028426850087542544,0.0036509982839462982,-0.0008083132751920438,0.5551181102362205,-0.0008083132751920437,-0.17722546771915332,0.8593312919448254,净涨停占比
limit_up_next_ret,gt,0.025,1,430,110,0.2558139534883721,0.0030309661932537498,0.0009046865258966954,0.002126279667357054,0.5727272727272728,0.0021262796673570555,1.2232896435246108,0.22122031739966252,涨停次日收益
limit_up_next_ret,gt,0.025,3,430,110,0.2558139534883721,0.0011788428972883023,0.0022747453969620625,-0.0010959024996737602,0.5,-0.0010959024996737602,-0.44918666941080615,0.6532970030587997,涨停次日收益
limit_up_next_ret,gt,0.025,5,430,110,0.2558139534883721,0.00013271974484819053,0.0016518437766088133,-0.0015191240317606227,0.45454545454545453,-0.0015191240317606236,-0.44081702761456854,0.6593454653404525,涨停次日收益
limit_up_next_ret,gt,0.025,10,429,110,0.2564102564102564,0.005128687845164671,0.002466914805450394,0.0026617730397142767,0.5909090909090909,0.002661773039714278,0.5669122085013902,0.5707738292031725,涨停次日收益
limit_down_next_ret,gt,-0.01,1,428,61,0.1425233644859813,0.00246120344383411,0.0011477914617867258,0.0013134119820473842,0.6721311475409836,0.0013134119820473842,0.7964729110403137,0.42575721448227855,跌停次日收益
limit_down_next_ret,gt,-0.01,3,428,61,0.1425233644859813,0.0027703485655958906,0.0017794971369585282,0.0009908514286373624,0.5573770491803278,0.0009908514286373626,0.41100786850265714,0.6810667650352219,跌停次日收益
limit_down_next_ret,gt,-0.01,5,428,61,0.1425233644859813,0.0010392011270180304,0.0010836996372006814,-4.449851018265092e-05,0.4918032786885246,-4.449851018265092e-05,-0.011200809485557843,0.9910632339083681,跌停次日收益
limit_down_next_ret,gt,-0.01,10,427,61,0.14285714285714285,0.0046624316158824,0.002667099207167964,0.001995332408714436,0.5901639344262295,0.001995332408714436,0.36887344063746186,0.7122220607812862,跌停次日收益
chase_ret,gt,-0.005,1,435,342,0.7862068965517242,0.0030340597602030272,-0.003486239189763711,0.006520298949966738,0.6286549707602339,0.006520298949966736,3.037716744751994,0.002383779074704305,打板策略收益（15分钟近似）
chase_ret,gt,-0.005,3,435,342,0.7862068965517242,0.002845757885869628,-0.0006664218041107775,0.0035121796899804055,0.5877192982456141,0.0035121796899804064,1.373889661540174,0.16947593969806973,打板策略收益（15分钟近似）
chase_ret,gt,-0.005,5,435,342,0.7862068965517242,0.0019158421229108682,-0.00048088944218112074,0.002396731565091989,0.5380116959064327,0.002396731565091988,0.7497301372347598,0.4534172527611464,打板策略收益（15分钟近似）
chase_ret,gt,-0.005,10,434,341,0.7857142857142857,0.004220531564871112,-0.0006449417235175784,0.004865473288388691,0.5659824046920822,0.0048654732883886935,0.8605158195766879,0.38950476699873215,打板策略收益（15分钟近似）
