index,factor,horizon,group,mean_return,win_rate,n_obs
沪深300,limit_up_ratio,1,G1,-0.0012098908801539722,0.4827586206896552,87
沪深300,limit_up_ratio,1,G2,3.5344518005931625e-05,0.5287356321839081,87
沪深300,limit_up_ratio,1,G3,-0.0001634274730596561,0.6091954022988506,87
沪深300,limit_up_ratio,1,G4,0.0012385077358192719,0.5747126436781609,87
沪深300,limit_up_ratio,1,G5,0.0048273882077416504,0.5517241379310345,87
沪深300,limit_up_ratio,3,G1,-0.00028115194602380773,0.45977011494252873,87
沪深300,limit_up_ratio,3,G2,0.001998816085469658,0.6436781609195402,87
沪深300,limit_up_ratio,3,G3,-0.0008770701234288478,0.5172413793103449,87
沪深300,limit_up_ratio,3,G4,0.0003445864436490784,0.5287356321839081,87
沪深300,limit_up_ratio,3,G5,0.00415775057344115,0.5632183908045977,87
沪深300,limit_up_ratio,5,G1,0.001801475840228247,0.4367816091954023,87
沪深300,limit_up_ratio,5,G2,0.0005202977711231414,0.5287356321839081,87
沪深300,limit_up_ratio,5,G3,-0.0025941163983715155,0.4942528735632184,87
沪深300,limit_up_ratio,5,G4,0.001629123449402896,0.5862068965517241,87
沪深300,limit_up_ratio,5,G5,0.0025939149591968783,0.5287356321839081,87
沪深300,limit_up_ratio,10,G1,0.006200719501664629,0.4827586206896552,87
沪深300,limit_up_ratio,10,G2,7.189229035783097e-05,0.47126436781609193,87
沪深300,limit_up_ratio,10,G3,0.001382371137175018,0.5116279069767442,86
沪深300,limit_up_ratio,10,G4,-0.002174095889204494,0.4827586206896552,87
沪深300,limit_up_ratio,10,G5,0.004327613410106638,0.5517241379310345,87
沪深300,limit_down_ratio,1,G1,0.000709996354668187,0.5862068965517241,87
沪深300,limit_down_ratio,1,G2,0.0005956411976068139,0.5057471264367817,87
沪深300,limit_down_ratio,1,G3,-0.0017910308082925899,0.5172413793103449,87
沪深300,limit_down_ratio,1,G4,0.0025349268297353927,0.6091954022988506,87
沪深300,limit_down_ratio,1,G5,0.0026783885346354217,0.5287356321839081,87
沪深300,limit_down_ratio,3,G1,0.0036959264256829828,0.6206896551724138,87
沪深300,limit_down_ratio,3,G2,0.003921364023001328,0.6091954022988506,87
沪深300,limit_down_ratio,3,G3,-0.003609362597553647,0.4367816091954023,87
沪深300,limit_down_ratio,3,G4,0.0012608592133255972,0.5862068965517241,87
沪深300,limit_down_ratio,3,G5,7.414396865096948e-05,0.45977011494252873,87
沪深300,limit_down_ratio,5,G1,0.0041858029755775334,0.6091954022988506,87
沪深300,limit_down_ratio,5,G2,0.0039056520864243598,0.5977011494252874,87
沪深300,limit_down_ratio,5,G3,-0.0027480105942514934,0.47126436781609193,87
沪深300,limit_down_ratio,5,G4,-0.002040161495411262,0.4367816091954023,87
沪深300,limit_down_ratio,5,G5,0.0006474126492405099,0.45977011494252873,87
沪深300,limit_down_ratio,10,G1,0.004489885982910444,0.5747126436781609,87
沪深300,limit_down_ratio,10,G2,0.0003972871701592778,0.47126436781609193,87
沪深300,limit_down_ratio,10,G3,0.0028859165131656754,0.47674418604651164,86
沪深300,limit_down_ratio,10,G4,-0.0004303916892722599,0.5517241379310345,87
沪深300,limit_down_ratio,10,G5,0.0024830846038949974,0.42528735632183906,87
沪深300,net_limit_ratio,1,G1,-0.0017844391258803672,0.5172413793103449,87
沪深300,net_limit_ratio,1,G2,0.0008257671066102605,0.4827586206896552,87
沪深300,net_limit_ratio,1,G3,0.0014807847483767392,0.6206896551724138,87
沪深300,net_limit_ratio,1,G4,-0.00045253516846955927,0.5632183908045977,87
沪深300,net_limit_ratio,1,G5,0.004658344547716152,0.5632183908045977,87
沪深300,net_limit_ratio,3,G1,0.000691990849784239,0.5287356321839081,87
沪深300,net_limit_ratio,3,G2,0.0011045199796330463,0.5172413793103449,87
沪深300,net_limit_ratio,3,G3,0.002858900879198817,0.632183908045977,87
沪深300,net_limit_ratio,3,G4,-0.0030010444035248056,0.4827586206896552,87
沪深300,net_limit_ratio,3,G5,0.0036885637280159333,0.5517241379310345,87
沪深300,net_limit_ratio,5,G1,0.0032127578546294073,0.5517241379310345,87
沪深300,net_limit_ratio,5,G2,0.0010326243896655659,0.5057471264367817,87
沪深300,net_limit_ratio,5,G3,0.0004319588218797423,0.5172413793103449,87
沪深300,net_limit_ratio,5,G4,-0.0023057175566581906,0.4827586206896552,87
沪深300,net_limit_ratio,5,G5,0.0015790721120631226,0.5172413793103449,87
沪深300,net_limit_ratio,10,G1,0.004729643887593552,0.5632183908045977,87
沪深300,net_limit_ratio,10,G2,0.004111866602439958,0.4367816091954023,87
沪深300,net_limit_ratio,10,G3,-0.0010413906093305447,0.45348837209302323,86
沪深300,net_limit_ratio,10,G4,0.0008451512504577841,0.5517241379310345,87
沪深300,net_limit_ratio,10,G5,0.0011353699885192675,0.4942528735632184,87
沪深300,limit_up_next_ret,1,G1,0.003021024811626398,0.5697674418604651,86
沪深300,limit_up_next_ret,1,G2,-0.0013875926198701793,0.4418604651162791,86
沪深300,limit_up_next_ret,1,G3,-5.263784924477665e-05,0.627906976744186,86
沪深300,limit_up_next_ret,1,G4,0.00089945677546875,0.5697674418604651,86
沪深300,limit_up_next_ret,1,G5,0.001242082843538661,0.5232558139534884,86
沪深300,limit_up_next_ret,3,G1,0.005898275957056387,0.6046511627906976,86
沪深300,limit_up_next_ret,3,G2,5.61945537114569e-05,0.5,86
沪深300,limit_up_next_ret,3,G3,0.0003827091038002169,0.5697674418604651,86
沪深300,limit_up_next_ret,3,G4,-0.0003821651939177851,0.5348837209302325,86
沪深300,limit_up_next_ret,3,G5,-0.0012423556817448193,0.4883720930232558,86
沪深300,limit_up_next_ret,5,G1,0.004625494315582177,0.6046511627906976,86
沪深300,limit_up_next_ret,5,G2,0.0026795467863220722,0.5232558139534884,86
沪深300,limit_up_next_ret,5,G3,-0.0025026293858103517,0.46511627906976744,86
沪深300,limit_up_next_ret,5,G4,0.00017092256078101177,0.4883720930232558,86
沪深300,limit_up_next_ret,5,G5,-0.0017168943404596616,0.47674418604651164,86
沪深300,limit_up_next_ret,10,G1,0.006601019130111791,0.46511627906976744,86
沪深300,limit_up_next_ret,10,G2,0.001444560099469526,0.5232558139534884,86
沪深300,limit_up_next_ret,10,G3,-0.0034775266798879553,0.43529411764705883,85
沪深300,limit_up_next_ret,10,G4,-0.00024688587199131023,0.5116279069767442,86
沪深300,limit_up_next_ret,10,G5,0.005127393658472091,0.5465116279069767,86
沪深300,limit_down_next_ret,1,G1,-0.0014560917238356417,0.45348837209302323,86
沪深300,limit_down_next_ret,1,G2,0.000645509165368418,0.5647058823529412,85
沪深300,limit_down_next_ret,1,G3,2.223018105042693e-05,0.5465116279069767,86
沪深300,limit_down_next_ret,1,G4,0.0015293548850752678,0.6,85
沪深300,limit_down_next_ret,1,G5,0.002436260819202264,0.5697674418604651,86
沪深300,limit_down_next_ret,3,G1,0.0013261458435105116,0.5697674418604651,86
沪深300,limit_down_next_ret,3,G2,0.002007797621004444,0.5647058823529412,85
沪深300,limit_down_next_ret,3,G3,-0.0012846050814027908,0.47674418604651164,86
沪深300,limit_down_next_ret,3,G4,0.0009528825731109704,0.5764705882352941,85
沪深300,limit_down_next_ret,3,G5,0.0013535969480964096,0.5116279069767442,86
沪深300,limit_down_next_ret,5,G1,0.002455656490877341,0.5581395348837209,86
沪深300,limit_down_next_ret,5,G2,-0.0003519080487770355,0.5882352941176471,85
沪深300,limit_down_next_ret,5,G3,0.0006372775644191013,0.4883720930232558,86
沪深300,limit_down_next_ret,5,G4,-0.0020807116377222113,0.43529411764705883,85
沪深300,limit_down_next_ret,5,G5,0.0016492765212099156,0.47674418604651164,86
沪深300,limit_down_next_ret,10,G1,0.00975707094646342,0.5348837209302325,86
沪深300,limit_down_next_ret,10,G2,-0.0030562311891402564,0.4588235294117647,85
沪深300,limit_down_next_ret,10,G3,-0.002580746818280164,0.4470588235294118,85
沪深300,limit_down_next_ret,10,G4,0.0004958167893104652,0.4588235294117647,85
沪深300,limit_down_next_ret,10,G5,0.004175413477743671,0.5697674418604651,86
沪深300,chase_ret,1,G1,-0.003078905362965948,0.42528735632183906,87
沪深300,chase_ret,1,G2,-0.0006461516131593295,0.5172413793103449,87
沪深300,chase_ret,1,G3,0.0007129445380430439,0.5057471264367817,87
沪深300,chase_ret,1,G4,0.0026164210230086777,0.7241379310344828,87
沪深300,chase_ret,1,G5,0.005123613523426782,0.5747126436781609,87
沪深300,chase_ret,3,G1,-0.0008996180361047978,0.4827586206896552,87
沪深300,chase_ret,3,G2,0.00015586694482836244,0.5517241379310345,87
沪深300,chase_ret,3,G3,0.0004497958633196909,0.5632183908045977,87
沪深300,chase_ret,3,G4,0.0012260968224632478,0.5747126436781609,87
沪深300,chase_ret,3,G5,0.004410789438600727,0.5402298850574713,87
沪深300,chase_ret,5,G1,-1.3388647214684018e-05,0.47126436781609193,87
沪深300,chase_ret,5,G2,0.0003306724376160723,0.5287356321839081,87
沪深300,chase_ret,5,G3,-0.001272043908442181,0.4942528735632184,87
沪深300,chase_ret,5,G4,0.004064096559288801,0.5747126436781609,87
沪深300,chase_ret,5,G5,0.0008413591803316391,0.5057471264367817,87
沪深300,chase_ret,10,G1,0.0018792623713304903,0.42528735632183906,87
沪深300,chase_ret,10,G2,-0.0002970624234592465,0.45977011494252873,87
沪深300,chase_ret,10,G3,0.0028115258502718807,0.5116279069767442,86
沪深300,chase_ret,10,G4,-0.00016467489386624796,0.5402298850574713,87
沪深300,chase_ret,10,G5,0.0055958766114905245,0.5632183908045977,87
中证500,limit_up_ratio,1,G1,-0.0020730519402820747,0.5172413793103449,87
中证500,limit_up_ratio,1,G2,0.001401469570585799,0.5517241379310345,87
中证500,limit_up_ratio,1,G3,0.0011879326405717183,0.5862068965517241,87
中证500,limit_up_ratio,1,G4,0.0029388949086736967,0.6206896551724138,87
中证500,limit_up_ratio,1,G5,0.007164004038723295,0.6091954022988506,87
中证500,limit_up_ratio,3,G1,0.0003534968398965824,0.4942528735632184,87
中证500,limit_up_ratio,3,G2,0.0030383629419274472,0.5862068965517241,87
中证500,limit_up_ratio,3,G3,-0.0008840935894130888,0.5632183908045977,87
中证500,limit_up_ratio,3,G4,0.0028538846524866815,0.6436781609195402,87
中证500,limit_up_ratio,3,G5,0.007121316780091717,0.5632183908045977,87
中证500,limit_up_ratio,5,G1,0.0015998019521718985,0.45977011494252873,87
中证500,limit_up_ratio,5,G2,-0.00058159333823804,0.5057471264367817,87
中证500,limit_up_ratio,5,G3,-0.0032414707734963657,0.4827586206896552,87
中证500,limit_up_ratio,5,G4,0.0036983306484515864,0.6091954022988506,87
中证500,limit_up_ratio,5,G5,0.005523780757476153,0.5747126436781609,87
中证500,limit_up_ratio,10,G1,0.0030904856059347815,0.42528735632183906,87
中证500,limit_up_ratio,10,G2,-0.00011439811486033987,0.47126436781609193,87
中证500,limit_up_ratio,10,G3,0.0007359509067887443,0.5232558139534884,86
中证500,limit_up_ratio,10,G4,0.0029619349692715526,0.5287356321839081,87
中证500,limit_up_ratio,10,G5,0.00877205989804561,0.6436781609195402,87
中证500,limit_down_ratio,1,G1,0.00015865391091049165,0.5747126436781609,87
中证500,limit_down_ratio,1,G2,0.0023000702126857887,0.5747126436781609,87
中证500,limit_down_ratio,1,G3,9.364711015161518e-05,0.5517241379310345,87
中证500,limit_down_ratio,1,G4,0.0034183302235529676,0.632183908045977,87
中证500,limit_down_ratio,1,G5,0.004648547760971572,0.5517241379310345,87
中证500,limit_down_ratio,3,G1,0.004497262036848937,0.5632183908045977,87
中证500,limit_down_ratio,3,G2,0.005855269456781784,0.6781609195402298,87
中证500,limit_down_ratio,3,G3,-0.0011461895433675616,0.5517241379310345,87
中证500,limit_down_ratio,3,G4,0.0025081716014743413,0.5632183908045977,87
中证500,limit_down_ratio,3,G5,0.000768454073251839,0.4942528735632184,87
中证500,limit_down_ratio,5,G1,0.004928309728392018,0.5632183908045977,87
中证500,limit_down_ratio,5,G2,0.00541320847878503,0.5632183908045977,87
中证500,limit_down_ratio,5,G3,-0.00070961082462783,0.5172413793103449,87
中证500,limit_down_ratio,5,G4,-0.002125290100247168,0.5747126436781609,87
中证500,limit_down_ratio,5,G5,-0.0005077680359368178,0.41379310344827586,87
中证500,limit_down_ratio,10,G1,0.007240620739860195,0.5632183908045977,87
中证500,limit_down_ratio,10,G2,-0.0007056058471003693,0.5517241379310345,87
中证500,limit_down_ratio,10,G3,0.004880469939831338,0.47674418604651164,86
中证500,limit_down_ratio,10,G4,0.001209110226819829,0.5862068965517241,87
中证500,limit_down_ratio,10,G5,0.0028690763555744444,0.41379310344827586,87
中证500,net_limit_ratio,1,G1,-0.0024177789924984825,0.5402298850574713,87
中证500,net_limit_ratio,1,G2,0.0008562182315262866,0.5287356321839081,87
中证500,net_limit_ratio,1,G3,0.003583446720843234,0.6436781609195402,87
中证500,net_limit_ratio,1,G4,0.0017181176220647393,0.5402298850574713,87
中证500,net_limit_ratio,1,G5,0.006879245636336657,0.632183908045977,87
中证500,net_limit_ratio,3,G1,0.0008309017206009322,0.5057471264367817,87
中证500,net_limit_ratio,3,G2,0.0014889065614476686,0.5517241379310345,87
中证500,net_limit_ratio,3,G3,0.004072982393119642,0.6091954022988506,87
中证500,net_limit_ratio,3,G4,-0.0006226496005678681,0.5862068965517241,87
中证500,net_limit_ratio,3,G5,0.006712826550388964,0.5977011494252874,87
中证500,net_limit_ratio,5,G1,0.0022562699392902922,0.5172413793103449,87
中证500,net_limit_ratio,5,G2,0.0010968577979167757,0.4942528735632184,87
中证500,net_limit_ratio,5,G3,0.0002963384405854341,0.4942528735632184,87
中证500,net_limit_ratio,5,G4,-0.0011271569919204566,0.5402298850574713,87
中证500,net_limit_ratio,5,G5,0.004476540060493186,0.5862068965517241,87
中证500,net_limit_ratio,10,G1,0.0034780801785068505,0.4942528735632184,87
中证500,net_limit_ratio,10,G2,0.004441962972739866,0.4827586206896552,87
中证500,net_limit_ratio,10,G3,-0.0023730865128591553,0.4883720930232558,86
中证500,net_limit_ratio,10,G4,0.004084870790634807,0.5287356321839081,87
中证500,net_limit_ratio,10,G5,0.005778469773863179,0.5977011494252874,87
中证500,limit_up_next_ret,1,G1,0.0025344912627638665,0.6046511627906976,86
中证500,limit_up_next_ret,1,G2,0.0002192451203896992,0.5581395348837209,86
中证500,limit_up_next_ret,1,G3,8.112666616292957e-05,0.6162790697674418,86
中证500,limit_up_next_ret,1,G4,0.002093332692618618,0.5232558139534884,86
中证500,limit_up_next_ret,1,G5,0.004591892308602074,0.5697674418604651,86
中证500,limit_up_next_ret,3,G1,0.007992338483140937,0.686046511627907,86
中证500,limit_up_next_ret,3,G2,0.0011199996072545019,0.5813953488372093,86
中证500,limit_up_next_ret,3,G3,7.162457091397383e-05,0.5581395348837209,86
中证500,limit_up_next_ret,3,G4,0.0009293529353339248,0.5465116279069767,86
中证500,limit_up_next_ret,3,G5,0.0017685061682700663,0.47674418604651164,86
中证500,limit_up_next_ret,5,G1,0.007029062709422791,0.6046511627906976,86
中证500,limit_up_next_ret,5,G2,0.004566119973837316,0.6046511627906976,86
中证500,limit_up_next_ret,5,G3,-0.003069941333723657,0.43023255813953487,86
中证500,limit_up_next_ret,5,G4,-0.00026939073936603334,0.5232558139534884,86
中证500,limit_up_next_ret,5,G5,-0.0019285068522908791,0.46511627906976744,86
中证500,limit_up_next_ret,10,G1,0.00629668649592906,0.5348837209302325,86
中证500,limit_up_next_ret,10,G2,0.0029534056881783226,0.5232558139534884,86
中证500,limit_up_next_ret,10,G3,-0.0011929034148341097,0.4235294117647059,85
中证500,limit_up_next_ret,10,G4,-0.0012288750680431281,0.4883720930232558,86
中证500,limit_up_next_ret,10,G5,0.00867873163947858,0.627906976744186,86
中证500,limit_down_next_ret,1,G1,-0.0022828352745434045,0.45348837209302323,86
中证500,limit_down_next_ret,1,G2,0.0016017452882622332,0.6,85
中证500,limit_down_next_ret,1,G3,0.002877490310699211,0.5930232558139535,86
中证500,limit_down_next_ret,1,G4,0.0033654810259396263,0.6235294117647059,85
中证500,limit_down_next_ret,1,G5,0.00337099759543022,0.6046511627906976,86
中证500,limit_down_next_ret,3,G1,0.002620618535919665,0.5930232558139535,86
中证500,limit_down_next_ret,3,G2,0.003862940516721285,0.6470588235294118,85
中证500,limit_down_next_ret,3,G3,-0.0008853237248501733,0.4883720930232558,86
中证500,limit_down_next_ret,3,G4,0.0031042453526706256,0.5647058823529412,85
中证500,limit_down_next_ret,3,G5,0.0027053380361533224,0.5581395348837209,86
中证500,limit_down_next_ret,5,G1,0.003126736180346923,0.5465116279069767,86
中证500,limit_down_next_ret,5,G2,0.0019998500965823607,0.5882352941176471,85
中证500,limit_down_next_ret,5,G3,-0.00043349517202902747,0.5,86
中证500,limit_down_next_ret,5,G4,-0.0006615959541611864,0.5176470588235295,85
中证500,limit_down_next_ret,5,G5,0.0012000567657383704,0.46511627906976744,86
中证500,limit_down_next_ret,10,G1,0.010878659181736906,0.5581395348837209,86
中证500,limit_down_next_ret,10,G2,-0.0010356202863052884,0.5176470588235295,85
中证500,limit_down_next_ret,10,G3,-0.003483967051644907,0.4588235294117647,85
中证500,limit_down_next_ret,10,G4,0.0021749289042712686,0.5294117647058824,85
中证500,limit_down_next_ret,10,G5,0.005479782938329085,0.5232558139534884,86
中证500,chase_ret,1,G1,-0.004823026293437795,0.4367816091954023,87
中证500,chase_ret,1,G2,0.0007201762262121227,0.5517241379310345,87
中证500,chase_ret,1,G3,0.002792672794413018,0.5632183908045977,87
中证500,chase_ret,1,G4,0.005027974625501701,0.6551724137931034,87
中证500,chase_ret,1,G5,0.006901451865583387,0.6781609195402298,87
中证500,chase_ret,3,G1,-0.001680467388444043,0.4942528735632184,87
中证500,chase_ret,3,G2,0.0005615643619097114,0.5632183908045977,87
中证500,chase_ret,3,G3,0.002626229124377977,0.6206896551724138,87
中证500,chase_ret,3,G4,0.004208983744804701,0.5977011494252874,87
中证500,chase_ret,3,G5,0.006766657782340993,0.5747126436781609,87
中证500,chase_ret,5,G1,-0.002224060732174755,0.42528735632183906,87
中证500,chase_ret,5,G2,-0.001056148468762354,0.5057471264367817,87
中证500,chase_ret,5,G3,0.0003319027848788913,0.5402298850574713,87
中证500,chase_ret,5,G4,0.00708981831865899,0.5862068965517241,87
中证500,chase_ret,5,G5,0.00285733734376446,0.5747126436781609,87
中证500,chase_ret,10,G1,-0.0019460307870280452,0.39080459770114945,87
中证500,chase_ret,10,G2,-0.0026345717213664874,0.4367816091954023,87
中证500,chase_ret,10,G3,0.004295527890662788,0.5581395348837209,86
中证500,chase_ret,10,G4,0.005654032820075599,0.6091954022988506,87
中证500,chase_ret,10,G5,0.010117989740812058,0.5977011494252874,87
中证1000,limit_up_ratio,1,G1,-0.003706031466066484,0.5172413793103449,87
中证1000,limit_up_ratio,1,G2,0.0023601782079959634,0.6091954022988506,87
中证1000,limit_up_ratio,1,G3,0.000994198671462716,0.632183908045977,87
中证1000,limit_up_ratio,1,G4,0.004282751945224812,0.6551724137931034,87
中证1000,limit_up_ratio,1,G5,0.008492231540648886,0.6206896551724138,87
中证1000,limit_up_ratio,3,G1,-0.0009599291026262151,0.47126436781609193,87
中证1000,limit_up_ratio,3,G2,0.00369153947242238,0.5287356321839081,87
中证1000,limit_up_ratio,3,G3,-0.0016422688738773265,0.5172413793103449,87
中证1000,limit_up_ratio,3,G4,0.004758454991727118,0.6436781609195402,87
中证1000,limit_up_ratio,3,G5,0.008578728307816355,0.632183908045977,87
中证1000,limit_up_ratio,5,G1,0.0005291840954653208,0.4942528735632184,87
中证1000,limit_up_ratio,5,G2,-0.0009123912539714329,0.4942528735632184,87
中证1000,limit_up_ratio,5,G3,-0.005293894608298108,0.4827586206896552,87
中证1000,limit_up_ratio,5,G4,0.00507139007861003,0.5977011494252874,87
中证1000,limit_up_ratio,5,G5,0.006999827915841423,0.5517241379310345,87
中证1000,limit_up_ratio,10,G1,0.001184365657389144,0.42528735632183906,87
中证1000,limit_up_ratio,10,G2,0.0002559715086696279,0.47126436781609193,87
中证1000,limit_up_ratio,10,G3,-0.0032240849482584838,0.46511627906976744,86
中证1000,limit_up_ratio,10,G4,0.004900951338727188,0.5632183908045977,87
中证1000,limit_up_ratio,10,G5,0.011726043400092827,0.6666666666666666,87
中证1000,limit_down_ratio,1,G1,0.0004713316723014247,0.5977011494252874,87
中证1000,limit_down_ratio,1,G2,0.0021217133446552036,0.5747126436781609,87
中证1000,limit_down_ratio,1,G3,0.000380114003745718,0.5517241379310345,87
中证1000,limit_down_ratio,1,G4,0.0037999044344406937,0.6551724137931034,87
中证1000,limit_down_ratio,1,G5,0.005650265444122854,0.6551724137931034,87
中证1000,limit_down_ratio,3,G1,0.00433502044057784,0.6091954022988506,87
中证1000,limit_down_ratio,3,G2,0.006976495765577036,0.6551724137931034,87
中证1000,limit_down_ratio,3,G3,-0.0012857236607896763,0.4827586206896552,87
中证1000,limit_down_ratio,3,G4,0.00245496949890411,0.4827586206896552,87
中证1000,limit_down_ratio,3,G5,0.0019457627511930008,0.5632183908045977,87
中证1000,limit_down_ratio,5,G1,0.004421611820668703,0.5862068965517241,87
中证1000,limit_down_ratio,5,G2,0.006851648670417443,0.6091954022988506,87
中证1000,limit_down_ratio,5,G3,-0.001679912926403064,0.47126436781609193,87
中证1000,limit_down_ratio,5,G4,-0.0033206535383821264,0.5172413793103449,87
中证1000,limit_down_ratio,5,G5,0.00012142220134627811,0.4367816091954023,87
中证1000,limit_down_ratio,10,G1,0.006207452731778939,0.5517241379310345,87
中证1000,limit_down_ratio,10,G2,0.0009398934604173863,0.5632183908045977,87
中证1000,limit_down_ratio,10,G3,0.003878282894824623,0.47674418604651164,86
中证1000,limit_down_ratio,10,G4,-0.0002327506585391542,0.5517241379310345,87
中证1000,limit_down_ratio,10,G5,0.00413200494012797,0.4482758620689655,87
中证1000,net_limit_ratio,1,G1,-0.0029111704582590425,0.5747126436781609,87
中证1000,net_limit_ratio,1,G2,0.0001050168644366684,0.5287356321839081,87
中证1000,net_limit_ratio,1,G3,0.004771935200820424,0.6896551724137931,87
中证1000,net_limit_ratio,1,G4,0.002361873691653261,0.6206896551724138,87
中证1000,net_limit_ratio,1,G5,0.008095673600614582,0.6206896551724138,87
中证1000,net_limit_ratio,3,G1,0.0007563404445038057,0.5402298850574713,87
中证1000,net_limit_ratio,3,G2,0.0009195570579829989,0.5057471264367817,87
中证1000,net_limit_ratio,3,G3,0.00474543018448469,0.5402298850574713,87
中证1000,net_limit_ratio,3,G4,0.00035867452677936797,0.5517241379310345,87
中证1000,net_limit_ratio,3,G5,0.0076465225817114475,0.6551724137931034,87
中证1000,net_limit_ratio,5,G1,0.002523069214878246,0.5402298850574713,87
中证1000,net_limit_ratio,5,G2,5.16531186423158e-05,0.5172413793103449,87
中证1000,net_limit_ratio,5,G3,-0.0006076312219332719,0.4942528735632184,87
中证1000,net_limit_ratio,5,G4,-0.0005472195639524586,0.5287356321839081,87
中证1000,net_limit_ratio,5,G5,0.004974244680012402,0.5402298850574713,87
中证1000,net_limit_ratio,10,G1,0.00468899408839479,0.5172413793103449,87
中证1000,net_limit_ratio,10,G2,0.0026859760692734954,0.4827586206896552,87
中证1000,net_limit_ratio,10,G3,-0.0040663154982151315,0.4186046511627907,86
中证1000,net_limit_ratio,10,G4,0.004192834151648711,0.5402298850574713,87
中证1000,net_limit_ratio,10,G5,0.007332077334599396,0.632183908045977,87
中证1000,limit_up_next_ret,1,G1,0.0020841670051866454,0.5930232558139535,86
中证1000,limit_up_next_ret,1,G2,0.0005265028214608475,0.5930232558139535,86
中证1000,limit_up_next_ret,1,G3,0.00037625205855473283,0.6395348837209303,86
中证1000,limit_up_next_ret,1,G4,0.0020610670167979937,0.5465116279069767,86
中证1000,limit_up_next_ret,1,G5,0.006133654919738779,0.6511627906976745,86
中证1000,limit_up_next_ret,3,G1,0.008251468108800187,0.6395348837209303,86
中证1000,limit_up_next_ret,3,G2,0.001335329419921085,0.5697674418604651,86
中证1000,limit_up_next_ret,3,G3,-0.0005455259072714235,0.5581395348837209,86
中证1000,limit_up_next_ret,3,G4,0.0014210467258899018,0.47674418604651164,86
中证1000,limit_up_next_ret,3,G5,0.003300854513025625,0.5465116279069767,86
中证1000,limit_up_next_ret,5,G1,0.007338073894893285,0.6162790697674418,86
中证1000,limit_up_next_ret,5,G2,0.004366687624284012,0.6395348837209303,86
中证1000,limit_up_next_ret,5,G3,-0.004685161522852012,0.43023255813953487,86
中证1000,limit_up_next_ret,5,G4,-0.000881655774457846,0.46511627906976744,86
中证1000,limit_up_next_ret,5,G5,-0.0006857659698509473,0.46511627906976744,86
中证1000,limit_up_next_ret,10,G1,0.005815691708098903,0.5581395348837209,86
中证1000,limit_up_next_ret,10,G2,0.0030413062433255218,0.5116279069767442,86
中证1000,limit_up_next_ret,10,G3,-0.00249949341949175,0.47058823529411764,85
中证1000,limit_up_next_ret,10,G4,-0.0027417586822566955,0.4418604651162791,86
中证1000,limit_up_next_ret,10,G5,0.010765910343964031,0.5930232558139535,86
中证1000,limit_down_next_ret,1,G1,-0.0033838510155278605,0.4418604651162791,86
中证1000,limit_down_next_ret,1,G2,0.0014865863655104136,0.6235294117647059,85
中证1000,limit_down_next_ret,1,G3,0.0030060693687641716,0.627906976744186,86
中证1000,limit_down_next_ret,1,G4,0.004614846732424441,0.6705882352941176,85
中证1000,limit_down_next_ret,1,G5,0.004854365179083744,0.6511627906976745,86
