index,factor,horizon,n_obs,pearson_ic,spearman_ic,hac_beta,hac_t,hac_pvalue,directional_ic,q5_minus_q1
沪深300,limit_up_ratio,1,435,0.1708638833819211,0.09013240940001871,0.07836138948421907,2.940799125798024,0.0032736675152271757,0.1708638833819211,0.006037279087895623
沪深300,limit_up_ratio,3,435,0.07339638237799023,0.043101774878872,0.04433312359050434,1.4564715156534807,0.1452623182831335,0.07339638237799023,0.004438902519464957
沪深300,limit_up_ratio,5,435,0.012789897717378363,0.02974843387573749,0.010587245398786313,0.22892345740440376,0.8189284082713794,0.012789897717378363,0.0007924391189686312
沪深300,limit_up_ratio,10,434,0.0017532304398545793,0.037730844141927226,0.0021278561498040208,0.030462166820885424,0.9756984658720007,0.0017532304398545793,-0.0018731060915579906
沪深300,limit_down_ratio,1,435,-0.009053648827773144,0.029742974489159146,-0.0020928316233189866,-0.2768823930435646,0.7818704125712892,0.009053648827773144,0.001968392179967235
沪深300,limit_down_ratio,3,435,0.01236149726265401,0.13004493016139101,0.003763427399917854,0.24100127032334698,0.8095541319639805,-0.01236149726265401,-0.0036217824570320134
沪深300,limit_down_ratio,5,435,0.03505499816438578,0.13313748923872015,0.014625968891959428,0.9249043721077357,0.3550156521955318,-0.03505499816438578,-0.0035383903263370236
沪深300,limit_down_ratio,10,434,0.048523529779405175,0.05645095261675542,0.029597212988092793,1.0333056542647288,0.30146088203414234,-0.048523529779405175,-0.0020068013790154465
沪深300,net_limit_ratio,1,435,0.0963262180186555,0.06161776014480052,0.022536080323753205,1.7723629981213038,0.07633431986793537,0.0963262180186555,0.006442783673596519
沪深300,net_limit_ratio,3,435,0.024930730190751156,-0.008181874143757891,0.007681936145512479,0.4311771850257802,0.6663395416732,0.024930730190751156,0.0029965728782316943
沪深300,net_limit_ratio,5,435,-0.028954619780680153,-0.03365134238462654,-0.012226883994820322,-0.6115645883508227,0.5408258731542279,-0.028954619780680153,-0.0016336857425662847
沪深300,net_limit_ratio,10,434,-0.0482541767212761,-0.00194093741537437,-0.029810860786271622,-0.9072871649789412,0.36425495974092303,-0.0482541767212761,-0.0035942738990742845
沪深300,limit_up_next_ret,1,430,0.014939732715306532,-0.030492197059941085,0.0203226858789218,0.22074782378398775,0.8252887918798312,0.014939732715306532,-0.0017789419680877367
沪深300,limit_up_next_ret,3,430,-0.05617613657359819,-0.10059795058446114,-0.10250599988284184,-0.8614305180326877,0.38900097388543364,-0.05617613657359819,-0.007140631638801206
沪深300,limit_up_next_ret,5,430,-0.046732309630903926,-0.07853184963204927,-0.1168833841372058,-0.8163722413869978,0.4142872679189594,-0.046732309630903926,-0.006342388656041838
沪深300,limit_up_next_ret,10,429,0.0016035506040888354,0.03316746283492643,0.005879246069794973,0.031081155021843245,0.9752048185224814,0.0016035506040888354,-0.0014736254716396996
沪深300,limit_down_next_ret,1,428,0.06306100167494955,0.06096921310648905,0.04941700829247246,1.394074394457309,0.1632951405055355,0.06306100167494955,0.003892352543037906
沪深300,limit_down_next_ret,3,428,-0.012035457337858282,-0.023624911935008458,-0.012814061114592226,-0.26709959632487296,0.7893924783914313,-0.012035457337858282,2.7451104585898053e-05
沪深300,limit_down_next_ret,5,428,-0.020186201364370077,-0.06857429379261769,-0.02943943082898246,-0.42752030556368603,0.6690003985314426,-0.020186201364370077,-0.0008063799696674254
沪深300,limit_down_next_ret,10,427,-0.024001288414363085,-0.028475433572786497,-0.05159980726877404,-0.5388242378704783,0.5900081376026578,-0.024001288414363085,-0.005581657468719748
沪深300,chase_ret,1,435,0.2521366112684208,0.17637261147889674,0.255582552512033,4.208362742472072,2.5722770182931864e-05,0.2521366112684208,0.008202518886392729
沪深300,chase_ret,3,435,0.07780724753065438,0.07797698622468244,0.10387646583760582,1.1755217799133968,0.23978602881319555,0.07780724753065438,0.0053104074747055245
沪深300,chase_ret,5,435,0.0025365291369139615,0.04450146296234202,0.004640867826136673,0.049417422336329855,0.9605866441077414,0.0025365291369139615,0.0008547478275463231
沪深300,chase_ret,10,434,-0.00394332517557441,0.08338404525134968,-0.010547851199941706,-0.07858278087753848,0.9373644840479273,-0.00394332517557441,0.0037166142401600342
