factor,horizon,n_obs,pearson_ic,spearman_ic,hac_beta,hac_t,hac_pvalue,directional_ic,q5_minus_q1,因子
limit_up_ratio,1,435,0.2145117942336098,0.12209817534979012,0.09939276142292118,3.7233883389824856,0.00019656681799800295,0.2145117942336098,0.00834264907726129,涨停占比
limit_up_ratio,3,435,0.1009843464812246,0.06663447711921644,0.06114869998523824,1.935090697362432,0.05297916687923792,0.1009843464812246,0.006096758498102891,涨停占比
limit_up_ratio,5,435,0.03590778800991189,0.042984417153792455,0.029392146378023145,0.6170604838452013,0.5371948318868873,0.03590778800991189,0.0028637523777345457,涨停占比
limit_up_ratio,10,434,0.041134255505168096,0.07963429285109087,0.049375558597758544,0.7029743098837387,0.4820717595711196,0.041134255505168096,0.00242467259244202,涨停占比
limit_down_ratio,1,435,0.00981611627827898,0.010037368239952393,0.0022924615698592977,0.2891651428664894,0.7724550048864234,-0.00981611627827898,0.0035499354124040538,跌停占比
limit_down_ratio,3,435,0.03367396094995573,0.13255033599853994,0.010277468669610292,0.8337311395658407,0.4044325065040617,-0.03367396094995573,-0.0024880699283473,跌停占比
limit_down_ratio,5,435,0.05712153882786423,0.14812582398721144,0.023566839080207177,1.501444528095099,0.13324062415255436,-0.05712153882786423,-0.0032913325694019493,跌停占比
limit_down_ratio,10,434,0.08595196826375529,0.05655429706854743,0.05185126743857478,1.952276719427402,0.050905359903545645,-0.08595196826375529,-0.0010377605414805978,跌停占比
net_limit_ratio,1,435,0.0994943052407346,0.089284733484443,0.023517103051409992,1.6063014204930317,0.10820769840877734,0.0994943052407346,0.008051932593353756,净涨停占比
net_limit_ratio,3,435,0.017433880915329342,0.006202173311913974,0.005385292062054421,0.33927303606004394,0.7344040534196652,0.017433880915329342,0.004340268860618298,净涨停占比
net_limit_ratio,5,435,-0.03949499482454436,-0.03383488694424151,-0.01649174943293879,-0.8629350667586768,0.388173169131811,-0.03949499482454436,0.00015008927728745293,净涨停占比
net_limit_ratio,10,434,-0.06611742662021397,0.02194615674904581,-0.04039807452308309,-1.2563700215166789,0.2089818454586203,-0.06611742662021397,-0.001128235825749598,净涨停占比
limit_up_next_ret,1,430,0.0769185602012901,0.010069281066960882,0.10564027273013075,1.0927933422738587,0.27448454544089607,0.0769185602012901,0.0008736034272910699,涨停次日收益
limit_up_next_ret,3,430,-0.025770820778879877,-0.08861735577323987,-0.04707493579156384,-0.4181078434124362,0.6758682706094197,-0.025770820778879877,-0.005358489528362201,涨停次日收益
limit_up_next_ret,5,430,-0.05415790778707998,-0.09372983893029217,-0.13377741463153564,-0.917756722400737,0.35874624416982526,-0.05415790778707998,-0.006270524872867264,涨停次日收益
limit_up_next_ret,10,429,0.014071685093910997,0.04361928008961263,0.05102668690501333,0.2584465808503237,0.7960622709909906,0.014071685093910997,0.0018582637755781813,涨停次日收益
limit_down_next_ret,1,428,0.09518851801836445,0.11357173545008693,0.07559173753727552,1.990246525167127,0.0465637854897134,0.09518851801836445,0.005468958379617465,跌停次日收益
limit_down_next_ret,3,428,0.016017173437988638,-0.01009087434704104,0.017050612148590154,0.3535587852418417,0.7236695663135817,0.016017173437988638,0.0011708819166656977,跌停次日收益
limit_down_next_ret,5,428,-0.018408276947152625,-0.0673806046871774,-0.026511491074134627,-0.39395279581414744,0.6936158902588929,-0.018408276947152625,-0.0013474644505248148,跌停次日收益
limit_down_next_ret,10,427,-0.02180141603731519,-0.03198399836740683,-0.046244475424307895,-0.48172898832687283,0.6299984804782826,-0.02180141603731519,-0.0060317580744423385,跌停次日收益
chase_ret,1,435,0.2969046948275507,0.2109459031951914,0.30406335445575616,5.121422207514455,3.032398356688561e-07,0.2969046948275507,0.01046780993694079,打板策略收益（15分钟近似）
chase_ret,3,435,0.10172193358799869,0.09460067032395103,0.1361417134165,1.3994665551881482,0.1616731208040164,0.10172193358799869,0.007206834770113549,打板策略收益（15分钟近似）
chase_ret,5,435,0.02938338565354116,0.07273044025909085,0.053160360893043254,0.5482650483057093,0.5835099229589114,0.02938338565354116,0.003142311051338498,打板策略收益（15分钟近似）
chase_ret,10,434,0.027835642830463553,0.1272521357907481,0.07363898204719516,0.5312436469399047,0.5952499506213239,0.027835642830463553,0.008516526359557191,打板策略收益（15分钟近似）
