参数组合,参数结果,综合得分
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 117, '调整正确率(%)': '56.96', '预计平均亏损改善(%)': '1.6866'}",478.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 94, '调整正确率(%)': '60.94', '预计平均亏损改善(%)': '2.3171'}",477.7
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 124, '调整正确率(%)': '54.07', '预计平均亏损改善(%)': '1.6231'}",476.3
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 119, '调整正确率(%)': '54.11', '预计平均亏损改善(%)': '1.8083'}",476.0
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 108, '调整正确率(%)': '54.71', '预计平均亏损改善(%)': '2.2002'}",476.0
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 105, '调整正确率(%)': '54.87', '预计平均亏损改善(%)': '2.3065'}",475.8
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 111, '调整正确率(%)': '58.12', '预计平均亏损改善(%)': '1.7620'}",475.3
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 107, '调整正确率(%)': '54.65', '预计平均亏损改善(%)': '2.2261'}",475.2
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 107, '调整正确率(%)': '54.01', '预计平均亏损改善(%)': '2.2764'}",474.9
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 97, '调整正确率(%)': '58.74', '预计平均亏损改善(%)': '2.2873'}",474.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 100, '调整正确率(%)': '54.78', '预计平均亏损改善(%)': '2.4699'}",473.7
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 123, '调整正确率(%)': '53.36', '预计平均亏损改善(%)': '1.6583'}",473.6
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 111, '调整正确率(%)': '58.68', '预计平均亏损改善(%)': '1.6618'}",473.3
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 107, '调整正确率(%)': '53.12', '预计平均亏损改善(%)': '2.3089'}",473.2
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 123, '调整正确率(%)': '54.03', '预计平均亏损改善(%)': '1.5821'}",473.0
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 117, '调整正确率(%)': '56.12', '预计平均亏损改善(%)': '1.6292'}",472.8
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 97, '调整正确率(%)': '57.97', '预计平均亏损改善(%)': '2.3012'}",472.5
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 106, '调整正确率(%)': '53.93', '预计平均亏损改善(%)': '2.2597'}",472.4
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 114, '调整正确率(%)': '55.33', '预计平均亏损改善(%)': '1.8097'}",472.4
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 109, '调整正确率(%)': '57.32', '预计平均亏损改善(%)': '1.8351'}",472.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 90, '调整正确率(%)': '60.06', '预计平均亏损改善(%)': '2.4221'}",471.8
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 118, '调整正确率(%)': '54.48', '预计平均亏损改善(%)': '1.7051'}",471.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 85, '调整正确率(%)': '64.26', '预计平均亏损改善(%)': '2.3047'}",471.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 99, '调整正确率(%)': '57.35', '预计平均亏损改善(%)': '2.2403'}",471.4
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 114, '调整正确率(%)': '56.47', '预计平均亏损改善(%)': '1.6730'}",470.9
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 106, '调整正确率(%)': '58.84', '预计平均亏损改善(%)': '1.7800'}",470.1
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 109, '调整正确率(%)': '52.85', '预计平均亏损改善(%)': '2.1707'}",469.9
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.8}","{'调整天数': 103, '调整正确率(%)': '55.79', '预计平均亏损改善(%)': '2.1590'}",469.7
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 86, '调整正确率(%)': '63.14', '预计平均亏损改善(%)': '2.3021'}",469.6
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 119, '调整正确率(%)': '53.86', '预计平均亏损改善(%)': '1.6715'}",469.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 102, '调整正确率(%)': '55.49', '预计平均亏损改善(%)': '2.2060'}",468.9
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 118, '调整正确率(%)': '54.39', '预计平均亏损改善(%)': '1.6365'}",468.5
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 116, '调整正确率(%)': '54.81', '预计平均亏损改善(%)': '1.6633'}",467.9
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 114, '调整正确率(%)': '54.82', '预计平均亏损改善(%)': '1.7223'}",467.0
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 103, '调整正确率(%)': '53.88', '预计平均亏损改善(%)': '2.2460'}",466.7
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 100, '调整正确率(%)': '60.45', '预计平均亏损改善(%)': '1.8159'}",466.7
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 99, '调整正确率(%)': '62.53', '预计平均亏损改善(%)': '1.6742'}",466.2
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 100, '调整正确率(%)': '60.89', '预计平均亏损改善(%)': '1.7600'}",465.9
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 112, '调整正确率(%)': '56.61', '预计平均亏损改善(%)': '1.6112'}",465.7
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 99, '调整正确率(%)': '53.83', '预计平均亏损改善(%)': '2.3912'}",465.6
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 106, '调整正确率(%)': '53.77', '预计平均亏损改善(%)': '2.0931'}",465.1
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 103, '调整正确率(%)': '58.72', '预计平均亏损改善(%)': '1.7904'}",465.0
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 111, '调整正确率(%)': '55.33', '预计平均亏损改善(%)': '1.7452'}",464.9
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 100, '调整正确率(%)': '55.17', '预计平均亏损改善(%)': '2.2164'}",464.9
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 107, '调整正确率(%)': '58.31', '预计平均亏损改善(%)': '1.6465'}",464.6
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 111, '调整正确率(%)': '56.43', '预计平均亏损改善(%)': '1.6353'}",464.3
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 90, '调整正确率(%)': '57.96', '预计平均亏损改善(%)': '2.4026'}",464.2
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 115, '调整正确率(%)': '54.68', '预计平均亏损改善(%)': '1.6240'}",464.2
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 97, '调整正确率(%)': '57.14', '预计平均亏损改善(%)': '2.1605'}",464.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 95, '调整正确率(%)': '56.87', '预计平均亏损改善(%)': '2.2500'}",463.3
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.8}","{'调整天数': 94, '调整正确率(%)': '58.02', '预计平均亏损改善(%)': '2.1888'}",462.9
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 95, '调整正确率(%)': '56.83', '预计平均亏损改善(%)': '2.2190'}",461.9
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 106, '调整正确率(%)': '57.30', '预计平均亏损改善(%)': '1.7025'}",461.7
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 102, '调整正确率(%)': '53.96', '预计平均亏损改善(%)': '2.1498'}",461.4
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 112, '调整正确率(%)': '53.60', '预计平均亏损改善(%)': '1.7694'}",461.4
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 95, '调整正确率(%)': '57.08', '预计平均亏损改善(%)': '2.1700'}",460.8
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 87, '调整正确率(%)': '59.40', '预计平均亏损改善(%)': '2.3311'}",460.6
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 94, '调整正确率(%)': '56.70', '预计平均亏损改善(%)': '2.2301'}",460.2
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 98, '调整正确率(%)': '54.68', '预计平均亏损改善(%)': '2.2210'}",460.0
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 98, '调整正确率(%)': '55.39', '预计平均亏损改善(%)': '2.1553'}",459.8
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 102, '调整正确率(%)': '54.00', '预计平均亏损改善(%)': '2.0915'}",459.3
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 92, '调整正确率(%)': '57.88', '预计平均亏损改善(%)': '2.1887'}",458.9
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 111, '调整正确率(%)': '54.94', '预计平均亏损改善(%)': '1.6256'}",458.7
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 101, '调整正确率(%)': '53.19', '预计平均亏损改善(%)': '2.1865'}",458.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 83, '调整正确率(%)': '60.33', '预计平均亏损改善(%)': '2.3810'}",458.2
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 94, '调整正确率(%)': '57.48', '预计平均亏损改善(%)': '2.1054'}",457.8
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 96, '调整正确率(%)': '54.61', '预计平均亏损改善(%)': '2.2509'}",457.6
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 95, '调整正确率(%)': '53.67', '预计平均亏损改善(%)': '2.3643'}",457.3
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 90, '调整正确率(%)': '54.38', '预计平均亏损改善(%)': '2.5189'}",457.2
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 95, '调整正确率(%)': '56.02', '预计平均亏损改善(%)': '2.1626'}",457.0
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 114, '调整正确率(%)': '53.17', '预计平均亏损改善(%)': '1.6186'}",457.0
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 81, '调整正确率(%)': '58.12', '预计平均亏损改善(%)': '2.6083'}",456.7
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 86, '调整正确率(%)': '58.12', '预计平均亏损改善(%)': '2.3759'}",456.5
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.8}","{'调整天数': 80, '调整正确率(%)': '62.78', '预计平均亏损改善(%)': '2.2834'}",456.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 94, '调整正确率(%)': '54.78', '预计平均亏损改善(%)': '2.2905'}",456.3
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 106, '调整正确率(%)': '55.26', '预计平均亏损改善(%)': '1.7373'}",456.1
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 95, '调整正确率(%)': '53.61', '预计平均亏损改善(%)': '2.3364'}",456.0
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 99, '调整正确率(%)': '54.11', '预计平均亏损改善(%)': '2.1153'}",455.6
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 94, '调整正确率(%)': '60.94', '预计平均亏损改善(%)': '1.7378'}",454.5
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 94, '调整正确率(%)': '54.17', '预计平均亏损改善(%)': '2.2915'}",454.3
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 108, '调整正确率(%)': '54.71', '预计平均亏损改善(%)': '1.6501'}",454.0
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 96, '调整正确率(%)': '58.36', '预计平均亏损改善(%)': '1.8510'}",454.0
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 80, '调整正确率(%)': '61.37', '预计平均亏损改善(%)': '2.3199'}",453.5
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 78, '调整正确率(%)': '63.36', '预计平均亏损改善(%)': '2.2511'}",453.1
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 107, '调整正确率(%)': '54.65', '预计平均亏损改善(%)': '1.6696'}",452.9
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 105, '调整正确率(%)': '54.87', '预计平均亏损改善(%)': '1.7299'}",452.8
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 107, '调整正确率(%)': '54.01', '预计平均亏损改善(%)': '1.7073'}",452.2
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 97, '调整正确率(%)': '58.74', '预计平均亏损改善(%)': '1.7154'}",451.6
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 83, '调整正确率(%)': '58.97', '预计平均亏损改善(%)': '2.3164'}",451.4
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 81, '调整正确率(%)': '60.85', '预计平均亏损改善(%)': '2.2509'}",451.0
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 107, '调整正确率(%)': '53.12', '预计平均亏损改善(%)': '1.7316'}",450.1
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 106, '调整正确率(%)': '53.93', '预计平均亏损改善(%)': '1.6948'}",449.8
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 97, '调整正确率(%)': '57.97', '预计平均亏损改善(%)': '1.7259'}",449.5
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 99, '调整正确率(%)': '57.35', '预计平均亏损改善(%)': '1.6802'}",449.0
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 100, '调整正确率(%)': '54.78', '预计平均亏损改善(%)': '1.8525'}",449.0
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 83, '调整正确率(%)': '54.75', '预计平均亏损改善(%)': '2.5802'}",448.6
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 85, '调整正确率(%)': '64.26', '预计平均亏损改善(%)': '1.7285'}",448.4
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 109, '调整正确率(%)': '52.85', '预计平均亏损改善(%)': '1.6280'}",448.2
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.8}","{'调整天数': 103, '调整正确率(%)': '55.79', '预计平均亏损改善(%)': '1.6193'}",448.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 85, '调整正确率(%)': '57.09', '预计平均亏损改善(%)': '2.2874'}",447.9
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 90, '调整正确率(%)': '60.06', '预计平均亏损改善(%)': '1.8166'}",447.6
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 87, '调整正确率(%)': '57.18', '预计平均亏损改善(%)': '2.1772'}",447.3
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 102, '调整正确率(%)': '55.49', '预计平均亏损改善(%)': '1.6545'}",446.8
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 86, '调整正确率(%)': '63.14', '预计平均亏损改善(%)': '1.7266'}",446.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 80, '调整正确率(%)': '57.89', '预计平均亏损改善(%)': '2.4186'}",446.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 78, '调整正确率(%)': '58.96', '预计平均亏损改善(%)': '2.4282'}",446.5
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 93, '调整正确率(%)': '53.62', '预计平均亏损改善(%)': '2.1630'}",445.7
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 84, '调整正确率(%)': '58.01', '预计平均亏损改善(%)': '2.2011'}",445.5
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 87, '调整正确率(%)': '56.44', '预计平均亏损改善(%)': '2.1919'}",445.5
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 103, '调整正确率(%)': '53.88', '预计平均亏损改善(%)': '1.6845'}",444.2
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 106, '调整正确率(%)': '53.77', '预计平均亏损改善(%)': '1.5698'}",444.2
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 88, '调整正确率(%)': '54.10', '预计平均亏损改善(%)': '2.3015'}",444.1
