参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 157, '调整正确率(%)': '55.59', '预计平均亏损改善(%)': '2.2971'}",518.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 178, '调整正确率(%)': '55.71', '预计平均亏损改善(%)': '2.2843'}",518.3
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 142, '调整正确率(%)': '61.29', '预计平均亏损改善(%)': '1.7430'}",517.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 113, '调整正确率(%)': '62.35', '预计平均亏损改善(%)': '2.3603'}",517.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 132, '调整正确率(%)': '55.68', '预计平均亏损改善(%)': '2.2673'}",517.5
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 163, '调整正确率(%)': '55.04', '预计平均亏损改善(%)': '2.3270'}",517.5
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 212, '调整正确率(%)': '55.71', '预计平均亏损改善(%)': '2.2620'}",517.4
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 142, '调整正确率(%)': '54.75', '预计平均亏损改善(%)': '2.3515'}",517.4
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 175, '调整正确率(%)': '55.99', '预计平均亏损改善(%)': '2.2356'}",517.4
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 221, '调整正确率(%)': '55.83', '预计平均亏损改善(%)': '2.2483'}",517.3
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 148, '调整正确率(%)': '55.30', '预计平均亏损改善(%)': '2.2964'}",517.3
